"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:46","(Startsatz)","(Úvodní věta)","","","DMC_800_Xardas_BACK.description","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:65","...und das ist alles was passiert ist, seit du verschüttet wurdest.","... a to je vše, co se událo od té doby, co jsi byl zasypán.","","","DMC_800_BACK_14_01","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:66","Du warst doch auch im Tempel, als ich gegen den Schläfer kämpfte.","Když jsem bojoval se Spáčem, byl jsi také v chrámu.","","","DMC_800_BACK_15_02","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:67","Ich konnte mit letzter Kraft entkommen, bevor der Tempel einstürzte.","S vypětím posledních sil se mi podařilo uniknout předtím, než se chrám zhroutil.","","","DMC_800_BACK_14_03","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:68","Seitdem habe ich nach dir gesucht.","Od té doby jsem tě hledal.","","","DMC_800_BACK_14_04","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:70","Jetzt wird das Tal also von den Orcs belagert.","Hornické údolí teď obléhají skřeti.","","","DMC_800_Xardas_BACK_Info.DMC_800_Xardas_BACK.DMC_800_Xardas_BACK_PROBLEM","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:75","Jetzt wird das Tal also von den Orcs belagert und wir sitzen immer noch fest.","Hornické údolí teď obléhají skřeti a my tu pořád sedíme.","","","DMC_800_BACK_PROBLEM_15_01","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:76","So ist es. Aber das ist leider noch nicht unser schlimmstes Problem.","Je to tak. Ale to bohužel není náš největší problém.","","","DMC_800_BACK_PROBLEM_14_02","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:90","Von welchem Problem sprichst du?","O jakém problému mluvíš?","","","DMC_800_Xardas_QUEST.description","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:105","Von welchem Problem sprichst du?","O jakém problému mluvíš?","","","DMC_800_QUEST_15_01","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:106","Der Schläfer versucht von der Dämonenwelt in unsere Welt zurückzukehren. Wenn ihm das gelingt wird er ein ganzes Heer von Dämonen mit sich führen.","Spáč se pokouší dostat ze světa démonů zpět do našeho světa. Pokud se mu to podaří, povede celou armádu démonů.","","","DMC_800_QUEST_14_02","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:107","Aber wie? Das Tor zur Dämonenwelt ist zerstört.","Ale jak? Brána do světa démonů je zničena.","","","DMC_800_QUEST_15_03","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:108","Das magische Gefüge der Kolonie wurde durch die Zerstörung der Barriere geschwächt.","Magická struktura Kolonie byla během pádu Bariéry poničena.","","","DMC_800_QUEST_14_04","",""
