"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:11","Wo finde ich...","Wo finde ich...","","","Info_FindNPC_MIL.description","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:35","...Berengar?","...Berengar?","","","Info_FindNPC_MIL_Info.Info_FindNPC_MIL.Info_FindNPC_MIL_Berengar","AI_AddChoice",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:41","...Brutus?","...Brutus?","","","Info_FindNPC_MIL_Info.Info_FindNPC_MIL.Info_FindNPC_MIL_Brutus","AI_AddChoice",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:47","...Halvor?","...Halvor?","","","Info_FindNPC_MIL_Info.Info_FindNPC_MIL.Info_FindNPC_MIL_Halvor","AI_AddChoice",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:53","...Cassian?","...Cassian?","","","Info_FindNPC_MIL_Info.Info_FindNPC_MIL.Info_FindNPC_MIL_Cassian","AI_AddChoice",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:68","Wo finde ich Berengar?","Wo finde ich Berengar?","","","Info_FindNPC_Berengar_15_00","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:77","Tagsüber im Burginnenhof. Allerdings solltest du ihm lieber fernbleiben. Er ist leicht reizbar!","Tagsüber im Burginnenhof. Allerdings solltest du ihm lieber fernbleiben. Er ist leicht reizbar!","","","Info_FindNPC_MIL_Berengar_04_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:81","Tagsüber im Burginnenhof. Allerdings solltest du ihm lieber fernbleiben. Er ist leicht reizbar!","Tagsüber im Burginnenhof. Allerdings solltest du ihm lieber fernbleiben. Er ist leicht reizbar!","","","Info_FindNPC_MIL_Berengar_06_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:85","Tagsüber im Burginnenhof. Allerdings solltest du ihm lieber fernbleiben. Er ist leicht reizbar!","Tagsüber im Burginnenhof. Allerdings solltest du ihm lieber fernbleiben. Er ist leicht reizbar!","","","Info_FindNPC_MIL_Berengar_07_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:89","Tagsüber im Burginnenhof. Allerdings solltest du ihm lieber fernbleiben. Er ist leicht reizbar!","Tagsüber im Burginnenhof. Allerdings solltest du ihm lieber fernbleiben. Er ist leicht reizbar!","","","Info_FindNPC_MIL_Berengar_09_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:98","Wo finde ich Brutus?","Wo finde ich Brutus?","","","Info_FindNPC_Brutus_15_00","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:107","Er hängt die meiste Zeit bei der Arena rum. Er trägt auch Kämpfe aus.","Er hängt die meiste Zeit bei der Arena rum. Er trägt auch Kämpfe aus.","","","Info_FindNPC_MIL_Brutus_04_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:111","Er hängt die meiste Zeit bei der Arena rum. Er trägt auch Kämpfe aus.","Er hängt die meiste Zeit bei der Arena rum. Er trägt auch Kämpfe aus.","","","Info_FindNPC_MIL_Brutus_06_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:115","Er hängt die meiste Zeit bei der Arena rum. Er trägt auch Kämpfe aus.","Er hängt die meiste Zeit bei der Arena rum. Er trägt auch Kämpfe aus.","","","Info_FindNPC_MIL_Brutus_07_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:119","Er hängt die meiste Zeit bei der Arena rum. Er trägt auch Kämpfe aus.","Er hängt die meiste Zeit bei der Arena rum. Er trägt auch Kämpfe aus.","","","Info_FindNPC_MIL_Brutus_09_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:158","Wo finde ich Cassian?","Wo finde ich Halvor?","","False","Info_FindNPC_Halvor_15_00","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:137","Im Burghof ganz rechts ist die Küche. Das ist sein Reich.","Im Burghof ganz rechts ist die Küche. Das ist sein Reich.","","","Info_FindNPC_MIL_Halvor_04_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:141","Im Burghof ganz rechts ist die Küche. Das ist sein Reich.","Im Burghof ganz rechts ist die Küche. Das ist sein Reich.","","","Info_FindNPC_MIL_Halvor_06_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:145","Im Burghof ganz rechts ist die Küche. Das ist sein Reich.","Im Burghof ganz rechts ist die Küche. Das ist sein Reich.","","","Info_FindNPC_MIL_Halvor_07_01","",""
