"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/SVM.d:215","Hör auf mit dieser Magie-Scheiße!","Hör auf mit dieser Magie-Scheiße!","","","SVM_1_StopMagic","",""
"Scripts/Content/Story/SVM.d:216","Willst du Schläge? Hör sofort damit auf!!!","Willst du Schläge? Hör sofort damit auf!!!","","","SVM_1_ISaidStopMagic","",""
"Scripts/Content/Story/SVM.d:217","Steck die Waffe weg!","Steck die Waffe weg!","","","SVM_1_WeaponDown","",""
"Scripts/Content/Story/SVM.d:218","Steck endlich die Scheißwaffe weg!!","Steck endlich die Scheißwaffe weg!!","","","SVM_1_ISaidWeaponDown","",""
"Scripts/Content/Story/SVM.d:219","Nimm das Ding runter!!","Nimm das Ding runter!!","","","SVM_1_WatchYourAim","",""
"Scripts/Content/Story/SVM.d:220","Wenn du eine aufs Maul willst, ziel ruhig weiter auf mich!","Wenn du eine aufs Maul willst, ziel ruhig weiter auf mich!","","","SVM_1_WatchYourAimAngry","",""
"Scripts/Content/Story/SVM.d:221","Pass auf! Noch mal und ich verpass dir eine.","Pass auf! Noch mal und ich verpass dir eine.","","","SVM_1_WhatAreYouDoing","",""
"Scripts/Content/Story/SVM.d:222","Lass uns den kleinen Streit vergessen, okay?","Lass uns den kleinen Streit vergessen, okay?","","","SVM_1_LetsForgetOurLittleFight","",""
"Scripts/Content/Story/SVM.d:223","Verdammtes Drecksvieh!","Verdammtes Drecksvieh!","","","SVM_1_DieMonster","",""
"Scripts/Content/Story/SVM.d:224","Jetzt musst du dran glauben!","Jetzt musst du dran glauben!","","","SVM_1_DieMortalEnemy","",""
"Scripts/Content/Story/SVM.d:225","Jetzt gibt's was aufs Maul …","Jetzt gibt's was aufs Maul …","","","SVM_1_NowWait","",""
"Scripts/Content/Story/SVM.d:226","Du willst wohl noch eine aufs Maul!","Du willst wohl noch eine aufs Maul!","","","SVM_1_YouStillNotHaveEnough","",""
"Scripts/Content/Story/SVM.d:227","Du wolltest so es so haben!","Du wolltest so es so haben!","","","SVM_1_YouAskedForIt","",""
"Scripts/Content/Story/SVM.d:227","Jetzt sorg ich dafür, dass du in Einzelteilen hier weggeschafft wirst!","Jetzt sorg ich dafür, dass du in Einzelteilen hier weggeschafft wirst!","","","SVM_1_NowWaitIntruder","",""
"Scripts/Content/Story/SVM.d:229","Ich mach dich fertig, du Dieb!","Ich mach dich fertig, du Dieb!","","","SVM_1_DirtyThief","",""
"Scripts/Content/Story/SVM.d:230","Niemand vergreift sich an meinen Kumpels!","Niemand vergreift sich an meinen Kumpels!","","","SVM_1_YouAttackedMyCharge","",""
"Scripts/Content/Story/SVM.d:230","Du hast einen von uns platt gemacht. Jetzt mach' ich DICH platt!","Du hast einen von uns platt gemacht. Jetzt mach' ich DICH platt!","","","SVM_1_YouKilledOneOfUs","",""
"Scripts/Content/Story/SVM.d:233","Aaaaaargl!","Aaaaaargl!","","","SVM_1_Dead","",""
"Scripts/Content/Story/SVM.d:234","Aargh","Aargh","","","SVM_1_Aargh_1","",""
"Scripts/Content/Story/SVM.d:235","Aargh","Aargh","","","SVM_1_Aargh_2","",""
"Scripts/Content/Story/SVM.d:236","Aargh","Aargh","","","SVM_1_Aargh_3","",""
"Scripts/Content/Story/SVM.d:236","UUAAARRGGGHHH!!!","UUAAARRGGGHHH!!!","","","SVM_1_Berzerk","",""
"Scripts/Content/Story/SVM.d:237","Das wird dir noch Leid tun!","Das wird dir noch Leid tun!","","","SVM_1_YoullBeSorryForThis","",""
"Scripts/Content/Story/SVM.d:238","Keine Panik! Hast gewonnen!","Keine Panik! Hast gewonnen!","","","SVM_1_YesYes","",""
"Scripts/Content/Story/SVM.d:239","Scheiße! Nichts wie weg!","Scheiße! Nichts wie weg!","","","SVM_1_ShitWhatAMonster","",""
"Scripts/Content/Story/SVM.d:240","Verdammt!","Verdammt!","","","SVM_1_Help","",""
"Scripts/Content/Story/SVM.d:241","Noch einmal und du kannst was erleben.","Noch einmal und du kannst was erleben.","","","SVM_1_NeverTryThatAgain","",""
"Scripts/Content/Story/SVM.d:242","Danke für das Silber, du Held!","Danke für das Silber, du Held!","","","SVM_1_ITookYourOre","",""
"Scripts/Content/Story/SVM.d:243","Du arme Wurst, hast ja nicht mal Erz dabei!","Du arme Wurst, hast ja nicht mal Erz dabei!","","","SVM_1_ShitNoOre","",""
"Scripts/Content/Story/SVM.d:244","Flossen weg!","Flossen weg!","","","SVM_1_HandsOff","",""
"Scripts/Content/Story/SVM.d:245","Verschwinde hier!","Verschwinde hier!","","","SVM_1_GetOutOfHere","",""
"Scripts/Content/Story/SVM.d:246","Hey du! Was schleichst du da rum.","Hey du! Was schleichst du da rum.","","","SVM_1_WhyAreYouSneaking","",""
"Scripts/Content/Story/SVM.d:247","Raus aus meiner Hütte oder ich ruf die Wachen!","Raus aus meiner Hütte oder ich ruf die Wachen!","","","SVM_1_GetOutOrICallGuards","",""
"Scripts/Content/Story/SVM.d:248","Du hast da drinnen nichts verloren! Verschwinde!","Du hast da drinnen nichts verloren! Verschwinde!","","","SVM_1_WhatDidYouInThere","",""
"Scripts/Content/Story/SVM.d:249","Kluges Kerlchen!","Kluges Kerlchen!","","","SVM_1_WiseMove","",""
"Scripts/Content/Story/SVM.d:250","Wachen! Hierher!","Wachen! Hierher!","","","SVM_1_CallGuards","",""
"Scripts/Content/Story/SVM.d:251","ALARM!!! EINDRINGLING!!!","ALARM!!! EINDRINGLING!!!","","","SVM_1_IntruderAlert","",""
"Scripts/Content/Story/SVM.d:252","Hinter dir!","Hinter dir!","","","SVM_1_BehindYou","",""
"Scripts/Content/Story/SVM.d:253","Ah, ein Kampf!","Ah, ein Kampf!","","","SVM_1_TheresAFight","",""
"Scripts/Content/Story/SVM.d:254","Fester!","Fester!","","","SVM_1_HeyHeyHey","",""
"Scripts/Content/Story/SVM.d:255","Ihr kämpft wie Frauen!","Ihr kämpft wie Frauen!","","","SVM_1_CheerFight","",""
"Scripts/Content/Story/SVM.d:256","Mach ihn alle!!","Mach ihn alle!!","","","SVM_1_CheerFriend","",""
"Scripts/Content/Story/SVM.d:257","Schlag doch zurück!","Schlag doch zurück!","","","SVM_1_Ooh","",""
"Scripts/Content/Story/SVM.d:258","Komm zurück, du Feigling!","Komm zurück, du Feigling!","","","SVM_1_RunCoward","",""
"Scripts/Content/Story/SVM.d:259","Der hat genug!","Der hat genug!","","","SVM_1_HeDefeatedHim","",""
"Scripts/Content/Story/SVM.d:260","Warum hast du ihn kaltgemacht? Du bist so gut wie tot!","Warum hast du ihn kaltgemacht? Du bist so gut wie tot!","","","SVM_1_HeKilledHim","",""
"Scripts/Content/Story/SVM.d:262","Gäääähn","Gäääähn","","","SVM_1_Awake","",""
"Scripts/Content/Story/SVM.d:263","Hallo","Hallo","","","SVM_1_FriendlyGreetings","",""
"Scripts/Content/Story/SVM.d:263","Für Gomez!","Für Gomez!","","","SVM_1_ALGreetings","",""
"Scripts/Content/Story/SVM.d:264","Magie zu Ehren!","Magie zu Ehren!","","","SVM_1_MageGreetings","",""
"Scripts/Content/Story/SVM.d:265","Erwache!","Erwache!","","","SVM_1_SectGreetings","",""
"Scripts/Content/Story/SVM.d:266","Komm wieder, wenn du mehr Erfahrung hast.","Komm wieder, wenn du mehr Erfahrung hast.","","","SVM_1_NoLearnNoPoints","",""
"Scripts/Content/Story/SVM.d:267","Du bist am Ende deiner Möglichkeiten. Du solltest etwas anderes lernen.","Du bist am Ende deiner Möglichkeiten. Du solltest etwas anderes lernen.","","","SVM_1_NoLearnOverMax","",""
"Scripts/Content/Story/SVM.d:267","Du musst erst fortgeschritten sein, bevor du Meister werden kannst!","Du musst erst fortgeschritten sein, bevor du Meister werden kannst!","","","SVM_1_NoLearnYouAlreadyKnow","",""
"Scripts/Content/Story/SVM.d:269","Du bist jetzt schon besser!","Du bist jetzt schon besser!","","","SVM_1_NoLearnYoureBetter","",""
"Scripts/Content/Story/SVM.d:271","Hey, du!","Hey, du!","","","SVM_1_HeyYou","",""
"Scripts/Content/Story/SVM.d:272","Nicht jetzt!","Nicht jetzt!","","","SVM_1_NotNow","",""
"Scripts/Content/Story/SVM.d:272","Was willst du?","Was willst du?","","","SVM_1_WhatDoYouWant","",""
"Scripts/Content/Story/SVM.d:273","Kann ich irgendwas für dich tun?!","Kann ich irgendwas für dich tun?!","","","SVM_1_ISaidWhatDoYouWant","",""
"Scripts/Content/Story/SVM.d:274","Lass mich mal vorbei!","Lass mich mal vorbei!","","","SVM_1_MakeWay","",""
"Scripts/Content/Story/SVM.d:275","Mach endlich Platz, Mann!","Mach endlich Platz, Mann!","","","SVM_1_OutOfMyWay","",""
"Scripts/Content/Story/SVM.d:276","Bist du taub? WEG DA!!","Bist du taub? WEG DA!!","","","SVM_1_YouDeafOrWhat","",""
"Scripts/Content/Story/SVM.d:277","Suchst du wieder Streit?","Suchst du wieder Streit?","","","SVM_1_LookingForTroubleAgain","",""
"Scripts/Content/Story/SVM.d:278","Was war das denn?","Was war das denn?","","","SVM_1_WhatsThat","",""
"Scripts/Content/Story/SVM.d:279","Du rennst mit MEINER Waffe rum!","Du rennst mit MEINER Waffe rum!","","","SVM_1_ThatsMyWeapon","",""
"Scripts/Content/Story/SVM.d:280","Verdammt, warum weckst du mich?","Verdammt, warum weckst du mich?","","","SVM_1_YouDisturbedMySlumber","",""
"Scripts/Content/Story/SVM.d:281","Du Arsch hast mich beklaut!","Du Arsch hast mich beklaut!","","","SVM_1_YouStoleFromMe","",""
"Scripts/Content/Story/SVM.d:282","Warum hast du mich angegriffen??","Warum hast du mich angegriffen??","","","SVM_1_YouAttackedMe","",""
"Scripts/Content/Story/SVM.d:282","Einer unserer eigenen Leute hat ins Gras gebissen und du hast damit zu tun! Der kleinste Fehler noch und du bist Freiwild!","Einer unserer eigenen Leute hat ins Gras gebissen und du hast damit zu tun! Der kleinste Fehler noch und du bist Freiwild!","","","SVM_1_YouKilledMyFriend","",""
"Scripts/Content/Story/SVM.d:284","War ein guter Kampf. Du hast mir ganz schön aufs Maul gehauen, Mann!","War ein guter Kampf. Du hast mir ganz schön aufs Maul gehauen, Mann!","","","SVM_1_YouDefeatedMeWell","",""
"Scripts/Content/Story/SVM.d:285","… der letzte Scheiß …","… der letzte Scheiß …","","","SVM_1_Smalltalk01","",""
"Scripts/Content/Story/SVM.d:286","… kann schon sein, aber wen interessiert das? …","… kann schon sein, aber wen interessiert das? …","","","SVM_1_Smalltalk02","",""
"Scripts/Content/Story/SVM.d:287","… absolut idiotisch …","… absolut idiotisch …","","","SVM_1_Smalltalk03","",""
"Scripts/Content/Story/SVM.d:288","… ich halt mich da lieber raus …","… ich halt mich da lieber raus …","","","SVM_1_Smalltalk04","",""
"Scripts/Content/Story/SVM.d:289","… das ist wirklich nicht mein Problem …","… das ist wirklich nicht mein Problem …","","","SVM_1_Smalltalk05","",""
"Scripts/Content/Story/SVM.d:290","… war doch klar, dass das Ärger gibt …","… war doch klar, dass das Ärger gibt …","","","SVM_1_Smalltalk06","",""
"Scripts/Content/Story/SVM.d:291","… warum passiert so was immer wieder? …","… warum passiert so was immer wieder? …","","","SVM_1_Smalltalk07","",""
"Scripts/Content/Story/SVM.d:292","… das passiert mir nicht noch mal …","… das passiert mir nicht noch mal …","","","SVM_1_Smalltalk08","",""
"Scripts/Content/Story/SVM.d:293","… an der Geschichte muss doch wohl was dran sein …","… an der Geschichte muss doch wohl was dran sein …","","","SVM_1_Smalltalk09","",""
"Scripts/Content/Story/SVM.d:294","… nicht so viel quatschen, ja, ja …","… nicht so viel quatschen, ja, ja …","","","SVM_1_Smalltalk10","",""
"Scripts/Content/Story/SVM.d:295","… so lange ich nichts damit zu tun habe …","… so lange ich nichts damit zu tun habe …","","","SVM_1_Smalltalk11","",""
"Scripts/Content/Story/SVM.d:296","… man darf auch nicht alles glauben …","… man darf auch nicht alles glauben …","","","SVM_1_Smalltalk12","",""
"Scripts/Content/Story/SVM.d:297","… in seiner Haut will ich trotzdem nicht stecken …","… in seiner Haut will ich trotzdem nicht stecken …","","","SVM_1_Smalltalk13","",""
"Scripts/Content/Story/SVM.d:298","… immer wieder dieselbe Leier …","… immer wieder dieselbe Leier …","","","SVM_1_Smalltalk14","",""
"Scripts/Content/Story/SVM.d:299","… manche lernen eben gar nichts dazu …","… manche lernen eben gar nichts dazu …","","","SVM_1_Smalltalk15","",""
"Scripts/Content/Story/SVM.d:300","… früher wäre das ganz anders gelaufen …","… früher wäre das ganz anders gelaufen …","","","SVM_1_Smalltalk16","",""
"Scripts/Content/Story/SVM.d:301","… gequatscht wird viel …","… gequatscht wird viel …","","","SVM_1_Smalltalk17","",""
"Scripts/Content/Story/SVM.d:302","… ich hör' nicht mehr auf das Gefasel …","… ich hör' nicht mehr auf das Gefasel …","","","SVM_1_Smalltalk18","",""
"Scripts/Content/Story/SVM.d:303","… verlass dich auf jemanden und du bist verlassen, das ist eben so …","… verlass dich auf jemanden und du bist verlassen, das ist eben so …","","","SVM_1_Smalltalk19","",""
"Scripts/Content/Story/SVM.d:304","… ich glaube kaum, dass sich daran was ändern wird …","… ich glaube kaum, dass sich daran was ändern wird …","","","SVM_1_Smalltalk20","",""
"Scripts/Content/Story/SVM.d:305","… wahrscheinlich hast du Recht …","… wahrscheinlich hast du Recht …","","","SVM_1_Smalltalk21","",""
"Scripts/Content/Story/SVM.d:306","… erst mal abwarten. Es wird nichts so heiß gegessen, wie es gekocht wird …","… erst mal abwarten. Es wird nichts so heiß gegessen, wie es gekocht wird …","","","SVM_1_Smalltalk22","",""
"Scripts/Content/Story/SVM.d:307","… ich dachte, das wäre schon lange geklärt …","… ich dachte, das wäre schon lange geklärt …","","","SVM_1_Smalltalk23","",""
"Scripts/Content/Story/SVM.d:309","… lass uns lieber über was anderes reden …","… lass uns lieber über was anderes reden …","","","SVM_1_Smalltalk24","",""
"Scripts/Content/Story/SVM.d:309","Ommm","Ommm","","","SVM_1_Om","",""
"Scripts/Content/Story/SVM.d:310","Du spinnst wohl. Kannst doch nicht einfach einen Arenakampf unterbrechen.","Du spinnst wohl. Kannst doch nicht einfach einen Arenakampf unterbrechen.","","","SVM_1_YouDisturbedArenaFight","",""
"Scripts/Content/Story/SVM.d:311","Bist du wahnsinnig. In der Arena wird nicht getötet!","Bist du wahnsinnig. In der Arena wird nicht getötet!","","","SVM_1_YouMurderedInArena","",""
