"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:46","(Startsatz)","(Introductory sentence)","","False","DMC_800_Xardas_BACK.description","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:65","...und das ist alles was passiert ist, seit du verschüttet wurdest.","...and that's all that happened since you were buried alive.","","False","DMC_800_BACK_14_01","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:66","Du warst doch auch im Tempel, als ich gegen den Schläfer kämpfte.","When I was fighting the Sleeper, you were in the temple as well.","","False","DMC_800_BACK_15_02","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:67","Ich konnte mit letzter Kraft entkommen, bevor der Tempel einstürzte.","I managed to get away with the rest of my powers before the temple collapsed.","","False","DMC_800_BACK_14_03","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:68","Seitdem habe ich nach dir gesucht.","I have been looking for you ever since.","","False","DMC_800_BACK_14_04","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:70","Jetzt wird das Tal also von den Orcs belagert.","The valley is besieged by the orcs now.","","False","DMC_800_Xardas_BACK_Info.DMC_800_Xardas_BACK.DMC_800_Xardas_BACK_PROBLEM","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:75","Jetzt wird das Tal also von den Orcs belagert und wir sitzen immer noch fest.","The valley is besieged by the orcs now, and we're sitting tight here.","","False","DMC_800_BACK_PROBLEM_15_01","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:76","So ist es. Aber das ist leider noch nicht unser schlimmstes Problem.","It's true. But unfortunately, that's not our biggest problem.","","False","DMC_800_BACK_PROBLEM_14_02","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:90","Von welchem Problem sprichst du?","What kind of problem are you talking about?","","False","DMC_800_Xardas_QUEST.description","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:105","Von welchem Problem sprichst du?","What kind of problem are you talking about?","","False","DMC_800_QUEST_15_01","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:106","Der Schläfer versucht von der Dämonenwelt in unsere Welt zurückzukehren. Wenn ihm das gelingt wird er ein ganzes Heer von Dämonen mit sich führen.","The Sleeper is trying to find a way back from the world of demons. If he succeeds, he will lead a whole host of demons.","","False","DMC_800_QUEST_14_02","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:107","Aber wie? Das Tor zur Dämonenwelt ist zerstört.","But how? The gate to the world of demons is destroyed.","","False","DMC_800_QUEST_15_03","",""
"Scripts/Content/Story/Missions/DIA_DMC_800_Xardas.d:108","Das magische Gefüge der Kolonie wurde durch die Zerstörung der Barriere geschwächt.","The magical structure of the colony was disturbed when the barrier fell.","","False","DMC_800_QUEST_14_04","",""
