"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:70","(eiskalt) Gib mir meine Waffe! JETZT!","(ice cold) Give me my weapon! NOW!","","False","DMH_1302_MYWEAPON_Info_11_01","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:73","Nein, ich behalte sie!","No, I'll keep it!","","False","DMH_1302_Malgar_MYWEAPON_Info.DMH_1302_Malgar_MYWEAPON.DMH_1302_Malgar_MYWEAPON_TAKEN","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:74","Hier hast du sie zurück!","Here you go!","","False","DMH_1302_Malgar_MYWEAPON_Info.DMH_1302_Malgar_MYWEAPON.DMH_1302_Malgar_MYWEAPON_GIVEBACK","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:80","Hier hast du sie zurück!","Here you go!","","False","DMH_1302_MYWEAPON_GIVEBACK_15_01","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:82","(souverän) Gut!","(confident) Good!","","False","DMH_1302_MYWEAPON_GIVEBACK_11_02","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:89","Nein, ich behalte sie!","No, I'll keep it!","","False","DMH_1302_MYWEAPON_TAKEN_15_01","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:90","(verständnislos) Ts ts ts, Regel Nummer 3...","(without understanding) Ts ts ts, rule number three...","","False","DMH_1302_MYWEAPON_TAKEN_11_02","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:127","(grüssend) Heute abend, Gladiator...","(greeting) Tonight, gladiator...","","False","DMH_1302_CHALLENGED_11_01","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:131","Geh rüber!","Go there!","","False","DMH_1302_CHALLENGED_11_02","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:140","Kämpfe Gladiator!","Fight gladiator!","","False","DMH_1302_CHALLENGED_11_03","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:146","(grüssend) Morgen abend, Gladiator...","(greeting) Tomorrow evening, gladiator...","","False","DMH_1302_CHALLENGED_11_04","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:179","Raus hier!","Get out of here!","","False","DMH_1302_PRENPC_11_01","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:192","Du bist Gladiator, oder?","You are a gladiator, or?","","False","DMH_1302_Malgar_GLADIATOR.description","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:202","Du bist Gladiator, oder?","You are a gladiator, or?","","False","DMH_1302_GLADIATOR_15_01","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:203","Ja.","Yes.","","False","DMH_1302_GLADIATOR_11_02","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:215","Kämpfst wohl mit dem Schwert.","You probably fight with a sword.","","False","DMH_1302_Malgar_WEAPON.description","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:230","Kämpfst wohl mit dem Schwert.","You probably fight with a sword.","","False","DMH_1302_WEAPON_15_01","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:231","Ja!","Yes!","","False","DMH_1302_WEAPON_11_02","",""
