"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:60","Steh nicht im Weg rum, Mann! Hier wird gearbeitet!","Don't stand in the way, man! This place is work!","","True","Info_Gotmar_GREETINGS_04_01","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:73","Sieht sehr anstrengend aus, deine Arbeit!","Your work looks very tiring!","","True","Info_Gotmar_TIRESOME.description","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:88","Sieht anstrengend aus, deine Arbeit!","Your work looks exhausting!","","True","Info_Gotmar_TIRESOME_15_01","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:89","Und es ist ehrliche Arbeit! Das kann nicht jeder hier von seinem Beruf behaupten.","And it's honest work! Not everyone here can say that about his profession.","","True","Info_Gotmar_TIRESOME_04_02","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:90","Wie meinst du das?","What do you mean?","","True","Info_Gotmar_TIRESOME_15_03","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:91","Schau dich mal um. Schmarotzer, Bettler, Diebe... Nicht jeder hier verdient sich sein Brot auf ehrliche Weise!","Look around you. Scumbers, beggars, thieves... Not everyone here earns his bread in an honest way!","","True","Info_Gotmar_TIRESOME_04_04","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:92","Wenn wir Handwerker nicht wären, wäre das Lager noch ein riesiger Schutthaufen!","If it weren't for us craftsmen, the Camp would still be a huge pile of rubbish!","","True","Info_Gotmar_TIRESOME_04_05","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:104","Das Lager war zerstört?","The camp was destroyed?","","True","Info_Gotmar_DEBRIS.description","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:119","Das Lager war zerstört?","The camp was destroyed?","","True","Info_Gotmar_DEBRIS_15_01","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:120","Ja Mann! Bei der Zerstörung der Barriere ist hier einiges zu Bruch gegangen!","Yeah, man! A lot of things broke down here when the Barrier was destroyed!","","True","Info_Gotmar_DEBRIS_04_02","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:121","Vorher soll es hier anders ausgesehen haben, sagt Diego.","Diego says things used to look different here.","","True","Info_Gotmar_DEBRIS_04_03","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:124","Kann schon sein!","Maybe!","","True","Info_Gotmar_DEBRIS_Info.Info_Gotmar_DEBRIS.Info_Gotmar_DEBRIS_MAYBE","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:125","Es sah... ANDERS aus!","It looked... ANOTHER!","","True","Info_Gotmar_DEBRIS_Info.Info_Gotmar_DEBRIS.Info_Gotmar_DEBRIS_INDEED","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:130","Kann schon sein!","Maybe!","","True","Info_Gotmar_DEBRIS_MAYBE_15_01","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:131","Naja, genau wissen das nur ehemalige Gefangene, wie Diego.","Well, only former prisoners know exactly that, like Diego.","","True","Info_Gotmar_DEBRIS_MAYBE_04_02","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:138","Es sah...","It saw...","","True","Info_Gotmar_DEBRIS_INDEED_15_01","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:140","...ANDERS aus!","...OTHER!","","True","Info_Gotmar_DEBRIS_INDEED_15_02","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:141","Woher willst DU das denn wissen?","How do YOU want to know that?","","True","Info_Gotmar_DEBRIS_INDEED_04_03","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:142","Vor der Zerstörung war dieses Gebiet ein riesiges Gefängnis!","Before the destruction, this area was a huge prison!","","True","Info_Gotmar_DEBRIS_INDEED_04_04","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:143","Ich war einer der Gefangenen und kenne Diego noch aus dieser Zeit!","I was one of the prisoners, and I know Diego from that time!","","True","Info_Gotmar_DEBRIS_INDEED_15_05","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:144","(misstrauisch) Was du nicht sagst...","(suspiciously) What you don't say ...","","True","Info_Gotmar_DEBRIS_INDEED_04_06","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:158","Verkaufst du Waffen?","Do you sell weapons?","","True","Info_Gotmar_SELL.description","",""
"Scripts/Content/Story/Missions/DIA_WRK_200_Gotmar.d:173","Verkaufst du Waffen?","Do you sell weapons?","","True","Info_Gotmar_SELL_15_01","",""
