"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Items/Amulette.d:16","Zeichen der Bruderschaft","Sign of the Brotherhood","","False","ItMi_Amulet_Psi.description","",""
"Scripts/Content/Items/Amulette.d:17","Dieses alte Amulett war ein Erkennungszeichen","This ancient amulet was a sign of recognition.","","True","ItMi_Amulet_Psi.text[0]","",""
"Scripts/Content/Items/Amulette.d:18","aus den Tagen der Barriere.","from the days of the Barrier.","","True","ItMi_Amulet_Psi.text[1]","",""
"Scripts/Content/Items/Amulette.d:42","Amulett der Flammen","Amulet of Flames","","True","Schutzamulett_Feuer.description","",""
"Scripts/Content/Items/Amulette.d:82","Harnischamulett","Armor Amulet","","True","Schutzamulett_Waffen.description","",""
"Scripts/Content/Items/Amulette.d:124","Amulett der Eichenhaut","Amulet of Oak Skin","","True","Schutzamulett_Geschosse.description","",""
"Scripts/Content/Items/Amulette.d:164","Amulett der Geisteskraft","Amulet of Spiritual Power","","True","Schutzamulett_Magie.description","",""
"Scripts/Content/Items/Amulette.d:204","Amulett der Läuterung","Amulet of Purification","","True","Schutzamulett_Magie_Feuer.description","",""
"Scripts/Content/Items/Amulette.d:244","Amulett der Steinhaut","Amulet of Stone Skin","","True","Schutzamulett_Waffen_Geschosse.description","",""
"Scripts/Content/Items/Amulette.d:286","Amulett der Erzhaut","Amulet of Ore Skin","","True","Schutzamulett_Total.description","",""
"Scripts/Content/Items/Amulette.d:332","Amulett der Wendigkeit","Amulet of Agility","","True","Gewandtheitsamulett.description","",""
"Scripts/Content/Items/Amulette.d:376","Amulett der Geschicklichkeit","Amulet of Dexterity","","True","Gewandtheitsamulett2.description","",""
"Scripts/Content/Items/Amulette.d:420","Amulett der Kraft","Amulet of Power","","True","Staerkeamulett.description","",""
"Scripts/Content/Items/Amulette.d:464","Amulett der Stärke","Amulet of Strength","","True","Staerkeamulett2.description","",""
"Scripts/Content/Items/Amulette.d:508","Amulett der Lebenskraft","Amulet of Life Force","","True","Lebensamulett.description","",""
"Scripts/Content/Items/Amulette.d:561","Amulett der Magie","Amulet of Magic","","True","Amulett_der_Magie.description","",""
"Scripts/Content/Items/Amulette.d:593","Amulett der Macht","Amulet of Might","","True","Amulett_der_Macht.name","",""
"Scripts/Content/Items/Amulette.d:637","Amulett der Erleuchtung","Amulet of Enlightenment","","True","Amulett_der_Erleuchtung.name","",""
"Scripts/Content/Items/Animaltrophy.d:260","Die Panzerplatte eines Minecrawler Kriegers","The Armor Plate of a Minecrawler Warrior","","True","ItAt_PlatesCrawler.description","",""
"Scripts/Content/Items/Animaltrophy.d:302","Fell eines Schattenläufers","Shadowbeast fur","","True","ItAt_ShadowFur.description","",""
"Scripts/Content/Items/Animaltrophy.d:323","Horn eines Schattenläufers","Horn of a Shadowbeast","","True","ItAt_ShadowHorn.description","",""
"Scripts/Content/Items/Animaltrophy.d:513","Diese messerscharfen Dornen","These sharp knife thorns","","True","ItAt_DemonSting.text[0]","",""
"Scripts/Content/Items/Animaltrophy.d:514","sind auf allen von Dämonen","are all of demons.","","True","ItAt_DemonSting.text[1]","",""
"Scripts/Content/Items/Animaltrophy.d:515","besessenen Tieren zu finden.","to find possessed animals.","","True","ItAt_DemonSting.text[2]","",""
"Scripts/Content/Items/Animaltrophy.d:536","Dieses Herz stammt aus den Überresten","This heart stems from the remains","","True","ItAt_StoneGolemHeart.text[0]","",""
"Scripts/Content/Items/Animaltrophy.d:537","eines besiegten Steingolems.","of a defeated stone golem.","","True","ItAt_StoneGolemHeart.text[1]","",""
"Scripts/Content/Items/Animaltrophy.d:538","Es hat die Kraft, einen Gegner","It has the power","","True","ItAt_StoneGolemHeart.text[2]","",""
"Scripts/Content/Items/Animaltrophy.d:539","durch die Luft zu schleudern.","through the air.","","True","ItAt_StoneGolemHeart.text[3]","",""
"Scripts/Content/Items/Animaltrophy.d:560","Dieses Herz stammt aus den Überresten","This heart stems from the remains","","True","ItAt_FireGolemHeart.text[0]","",""
"Scripts/Content/Items/Animaltrophy.d:561","eines besiegten Feuergolems.","of a defeated fire golem.","","True","ItAt_FireGolemHeart.text[1]","",""
"Scripts/Content/Items/Animaltrophy.d:562","Es hat die Kraft, einen Gegner","It has the power","","True","ItAt_FireGolemHeart.text[2]","",""
"Scripts/Content/Items/Animaltrophy.d:563","in Flammen aufgehen zu lassen.","on fire.","","True","ItAt_FireGolemHeart.text[3]","",""
"Scripts/Content/Items/Animaltrophy.d:584","Dieses Herz stammt aus den Überresten","This heart stems from the remains","","True","ItAt_IceGolemHeart.text[0]","",""
"Scripts/Content/Items/Animaltrophy.d:585","eines besiegten Eisgolems.","of a defeated ice golem.","","True","ItAt_IceGolemHeart.text[1]","",""
"Scripts/Content/Items/Animaltrophy.d:586","Es hat die Kraft, einen Gegner","It has the power","","True","ItAt_IceGolemHeart.text[2]","",""
"Scripts/Content/Items/Animaltrophy.d:587","zu Eis erstarren zu lassen.","to freeze a foe.","","True","ItAt_IceGolemHeart.text[3]","",""
"Scripts/Content/Items/Animaltrophy.d:610","Dieses Stück stammt aus den Überresten","This is a fragment of","","True","ItAt_IceGolemPiece.text[0]","",""
"Scripts/Content/Items/Animaltrophy.d:611","eines besiegten Eisgolems.","of a defeated ice golem.","","True","ItAt_IceGolemPiece.text[1]","",""
"Scripts/Content/Items/Armor.d:632","Schattenkluft","Shadow's Dress","","True","STT_ARMOR_M.name","",""
"Scripts/Content/Items/Armor.d:665","Schattenrüstung","Shadow's Armor","","True","STT_ARMOR_H.name","",""
"Scripts/Content/Items/Armor.d:701","Leichte Garderüstung","Light Guard's Armor","","True","GRD_ARMOR_L.name","",""
"Scripts/Content/Items/Armor.d:737","Garderüstung","Guard's Armor","","True","GRD_ARMOR_M.name","",""
"Scripts/Content/Items/Armor.d:769","Schwere Garderüstung","Heavy Guard's Armor","","True","GRD_ARMOR_H.name","",""
"Scripts/Content/Items/Armor.d:807","Prunkgewand","Robe of State","","True","EBR_ARMOR_M.name","",""
"Scripts/Content/Items/Armor.d:841","Gomez'Rüstung","Gomez' Armor","","True","EBR_ARMOR_H.name","",""
"Scripts/Content/Items/Armor.d:874","Schwere Erzbaronrüstung","Heavy Ore Baron's Armor","","True","EBR_ARMOR_H2.name","",""
"Scripts/Content/Items/Armor.d:950","Leichte Banditenkleidung","Light Rogue's Dress","","True","ORG_ARMOR_L.name","",""
"Scripts/Content/Items/Armor.d:984","Mittlere Banditenkleidung","Rogue's Dress","","True","ORG_ARMOR_M.name","",""
