"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:11","Wo finde ich...","¿Dónde puedo encontrar...","","True","Info_FindNPC_MIL.description","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:35","...Berengar?","... Berengar?","","True","Info_FindNPC_MIL_Info.Info_FindNPC_MIL.Info_FindNPC_MIL_Berengar","AI_AddChoice",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:41","...Brutus?","...Brutus?","","True","Info_FindNPC_MIL_Info.Info_FindNPC_MIL.Info_FindNPC_MIL_Brutus","AI_AddChoice",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:47","...Halvor?","... ¿Halvor?","","True","Info_FindNPC_MIL_Info.Info_FindNPC_MIL.Info_FindNPC_MIL_Halvor","AI_AddChoice",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:53","...Cassian?","...Cassian?","","True","Info_FindNPC_MIL_Info.Info_FindNPC_MIL.Info_FindNPC_MIL_Cassian","AI_AddChoice",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:68","Wo finde ich Berengar?","¿Dónde puedo encontrar a Berengar?","","True","Info_FindNPC_Berengar_15_00","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:77","Tagsüber im Burginnenhof. Allerdings solltest du ihm lieber fernbleiben. Er ist leicht reizbar!","Durante el día en el patio interior del castillo. Pero será mejor que te alejes de él. ¡Es fácil de irritar!","","True","Info_FindNPC_MIL_Berengar_04_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:81","Tagsüber im Burginnenhof. Allerdings solltest du ihm lieber fernbleiben. Er ist leicht reizbar!","Durante el día en el patio interior del castillo. Pero será mejor que te alejes de él. ¡Es fácil de irritar!","","True","Info_FindNPC_MIL_Berengar_06_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:85","Tagsüber im Burginnenhof. Allerdings solltest du ihm lieber fernbleiben. Er ist leicht reizbar!","Durante el día en el patio interior del castillo. Pero será mejor que te alejes de él. ¡Es fácil de irritar!","","True","Info_FindNPC_MIL_Berengar_07_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:89","Tagsüber im Burginnenhof. Allerdings solltest du ihm lieber fernbleiben. Er ist leicht reizbar!","Durante el día en el patio interior del castillo. Pero será mejor que te alejes de él. ¡Es fácil de irritar!","","True","Info_FindNPC_MIL_Berengar_09_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:98","Wo finde ich Brutus?","¿Dónde puedo encontrar a Brutus?","","True","Info_FindNPC_Brutus_15_00","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:107","Er hängt die meiste Zeit bei der Arena rum. Er trägt auch Kämpfe aus.","Se pasa la mayor parte del tiempo en la arena. También lucha.","","True","Info_FindNPC_MIL_Brutus_04_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:111","Er hängt die meiste Zeit bei der Arena rum. Er trägt auch Kämpfe aus.","Se pasa la mayor parte del tiempo en la arena. También lucha.","","True","Info_FindNPC_MIL_Brutus_06_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:115","Er hängt die meiste Zeit bei der Arena rum. Er trägt auch Kämpfe aus.","Se pasa la mayor parte del tiempo en la arena. También lucha.","","True","Info_FindNPC_MIL_Brutus_07_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:119","Er hängt die meiste Zeit bei der Arena rum. Er trägt auch Kämpfe aus.","Se pasa la mayor parte del tiempo en la arena. También lucha.","","True","Info_FindNPC_MIL_Brutus_09_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:158","Wo finde ich Cassian?","¿Dónde puedo encontrar a Cassian?","","True","Info_FindNPC_Halvor_15_00","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:137","Im Burghof ganz rechts ist die Küche. Das ist sein Reich.","La cocina está a la derecha del patio del castillo. Éste es su reino.","","True","Info_FindNPC_MIL_Halvor_04_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:141","Im Burghof ganz rechts ist die Küche. Das ist sein Reich.","La cocina está a la derecha del patio del castillo. Éste es su reino.","","True","Info_FindNPC_MIL_Halvor_06_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:145","Im Burghof ganz rechts ist die Küche. Das ist sein Reich.","La cocina está a la derecha del patio del castillo. Éste es su reino.","","True","Info_FindNPC_MIL_Halvor_07_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:149","Im Burghof ganz rechts ist die Küche. Das ist sein Reich.","La cocina está a la derecha del patio del castillo. Éste es su reino.","","True","Info_FindNPC_MIL_Halvor_09_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:167","Tagsüber trainiert er im Burghof.","Durante el día se entrena en el patio del castillo.","","True","Info_FindNPC_MIL_Cassian_04_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:171","Tagsüber trainiert er im Burghof.","Durante el día se entrena en el patio del castillo.","","True","Info_FindNPC_MIL_Cassian_06_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:175","Tagsüber trainiert er im Burghof.","Durante el día se entrena en el patio del castillo.","","True","Info_FindNPC_MIL_Cassian_07_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_MIL.d:180","Tagsüber trainiert er im Burghof.","Durante el día se entrena en el patio del castillo.","","True","Info_FindNPC_MIL_Cassian_09_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_WRK.d:11","Wo finde ich...","¿Dónde puedo encontrar...","","True","Info_FindNPC_WRK.description","",""
"Scripts/Content/Story/Chapters/B_FindNpc_WRK.d:34","...Bromor?","...Bromor?","","True","Info_FindNPC_WRK_Info.Info_FindNPC_WRK.Info_FindNPC_WRK_Bromor","AI_AddChoice",""
"Scripts/Content/Story/Chapters/B_FindNpc_WRK.d:40","...Gotmar?","...Gotmar?","","True","Info_FindNPC_WRK_Info.Info_FindNPC_WRK.Info_FindNPC_WRK_Gotmar","AI_AddChoice",""
"Scripts/Content/Story/Chapters/B_FindNpc_WRK.d:55","Wo finde ich Bromor?","¿Dónde puedo encontrar a Bromor?","","True","Info_FindNPC_Bromor_15_00","",""
"Scripts/Content/Story/Chapters/B_FindNpc_WRK.d:64","Dort wo gearbeitet wird. Er steht tagsüber in der Nähe der Bühne.","Allí donde trabajan. Durante el día está cerca del escenario.","","True","Info_FindNPC_WRK_Bromor_01_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_WRK.d:69","Dort wo gearbeitet wird. Er steht tagsüber in der Nähe der Bühne.","Allí donde trabajan. Durante el día está cerca del escenario.","","True","Info_FindNPC_WRK_Bromor_02_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_WRK.d:74","Dort wo gearbeitet wird. Er steht tagsüber in der Nähe der Bühne.","Allí donde trabajan. Durante el día está cerca del escenario.","","True","Info_FindNPC_WRK_Bromor_06_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_WRK.d:79","Dort wo gearbeitet wird. Er steht tagsüber in der Nähe der Bühne.","Allí donde trabajan. Durante el día está cerca del escenario.","","True","Info_FindNPC_WRK_Bromor_11_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_WRK.d:88","Wo finde ich Gotmar?","¿Dónde puedo encontrar a Gotmar?","","True","Info_FindNPC_Gotmar_15_00","",""
"Scripts/Content/Story/Chapters/B_FindNpc_WRK.d:97","Wenn du ins Lager reinkommst, ist auf der rechten Seite die Schmiede. Gotmar ist dort den ganzen Tag beschäftigt.","Cuando entres en el campamento, la herrería está a la derecha. Gotmar está ocupado allí todo el día.","","True","Info_FindNPC_WRK_Gotmar_01_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_WRK.d:102","Wenn du ins Lager reinkommst, ist auf der rechten Seite die Schmiede. Gotmar ist dort den ganzen Tag beschäftigt.","Cuando entres en el campamento, la herrería está a la derecha. Gotmar está ocupado allí todo el día.","","True","Info_FindNPC_WRK_Gotmar_02_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_WRK.d:107","Vorne am Lagereingang steht die Schmiede. Folge einfach dem Lärm.","La herrería está en la entrada del campamento. Sigue el ruido.","","True","Info_FindNPC_WRK_Gotmar_06_01","",""
"Scripts/Content/Story/Chapters/B_FindNpc_WRK.d:112","Neben dem Haupteingang ist die Schmiede. Und wo die Schmiede ist, ist der Schmied nicht fern.","La herrería está junto a la entrada principal. Y no está lejos de donde está la herrería.","","True","Info_FindNPC_WRK_Gotmar_11_01","",""
"Scripts/Content/Story/B/B_AssignAmbientInfos_MIL_4.d:32","Wie läufts?","¿Qué tal va todo?","","True","Infos_Mil_4_HI.description","",""
"Scripts/Content/Story/B/B_AssignAmbientInfos_MIL_4.d:42","Wie läufts?","¿Qué tal va todo?","","True","Infos_Mil_4_HI_Info_15_01","",""
"Scripts/Content/Story/B/B_AssignAmbientInfos_MIL_4.d:43","Es ist immer dasselbe Spiel Jungchen. Auf der einen Seite stehen wir, auf der anderen der Feind.","Siempre es el mismo juego, muchacho. Estamos de un lado y el enemigo de otro.","","True","Infos_Mil_4_HI_Info_04_02","",""
"Scripts/Content/Story/B/B_AssignAmbientInfos_MIL_4.d:44","Manchmal verlieren wir, manchmal gewinnen wir.","A veces perdemos, a veces ganamos.","","True","Infos_Mil_4_HI_Info_04_03","",""
"Scripts/Content/Story/B/B_AssignAmbientInfos_MIL_4.d:56","Wie schmeckt das Essen hier?","¿Cómo sabe la comida aquí?","","True","Info_Mil_4_FOODGOOD.description","",""
