"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Log_Constants.d:14","Wissen der Tierverwertung","Conocimiento de la explotación animal","","True","GE_AnimalTrophies","",""
"Scripts/Content/Story/Log_Constants.d:15","Wissen vom Waffenschmieden","Conocimientos de forja de armas","","True","GE_SmithWeapons","",""
"Scripts/Content/Story/Log_Constants.d:16","KURZSCHWERT: Eine kurze Klinge eine Elle lang und doppelschneidig. Die Parierstange ist kurz und rundlich. Die Waffe selbst ist bei Dieben und Mördern sehr beliebt, da sie leicht zu verbergen ist und auch im dichtesten Handgemenge nicht behindert.","ESPADA CURTA: Una hoja corta de un ángulo de largo y doble incisión. La barra de pared es corta y redonda. El arma es muy popular entre ladrones y asesinos, ya que es fácil de esconder y no se interpone en el más denso de los brazos.","","True","GE_SmithWeapons_1","",""
"Scripts/Content/Story/Log_Constants.d:17","LANGSCHWERT: Die ideale Waffe für die Verteidigung des Heims ebenso wie für den fahrenden Wanderer. Die drei Fuß messende, doppelschneidige Klinge wird mit einem Quereisen als Parierstange sowie einem Lederumwickelten Griff abgesetzt. Mit wenig Kraft zu schwingen, kann diese Waffe doch heftige Wunden in Mensch wie Tier reissen.","ESPADA LARGA: el arma ideal para defender el hogar y para los viajeros. La hoja de tres pies de doble corte se utiliza para la barra de pared y un mango de cuero. Con poca fuerza, puede cortar heridas graves en humanos y animales.","","True","GE_SmithWeapons_2","",""
"Scripts/Content/Story/Log_Constants.d:18","BREITSCHWERT: Drei Fuß messender Stahl, dessen gewaltige Wucht von der breiten doppelschneidigen Klinge herrührt. Dies ist die Waffe von Kriegern und Söldnern und nichts für Anfänger. Die ein Fuß messende Parierstange kann auch die stärksten Attacken abwehren und der Griff aus kreuzweise umwundenen Draht gibt der Hand, die diese schwere Waffe in den Kampf führt, optimalen Halt.","ESPADA BRUITA: Acero de tres pies de talla, cuya enorme fuerza proviene de la espada de doble corte. Es un arma de guerrero y mercenario, y no para principiantes. Una barra de parisa de un pie de talla puede defenderse de los ataques más fuertes y el mango de un alambre cruzado da una posición óptima a la mano que lleva a la espada en combate.","","True","GE_SmithWeapons_3","",""
"Scripts/Content/Story/Log_Constants.d:19","BASTARDSCHWERT: Wer diese vier Fuß lange, gewaltige Klinge einhändig in den Kampf führen kann, gehört zur Elite unter den Schwertkämpfern. Die Verbindung von Klinge, Parierstange und Griff muß besonders robust ausgeführt werden, um die Wucht der Schläge auch dauerhaft unbeschadet zu überstehen.","ESPADA BASTARDE: Quien pueda usar esta espada enorme de cuatro pies de largo y con una mano en combate, es de la élite entre los espadachines. La unión de la espada, la barra de pared y el mango debe ser especialmente robusta para que los golpes sobrevivan a la fuerza de los golpes sin daños permanentes.","","True","GE_SmithWeapons_4","",""
"Scripts/Content/Story/Log_Constants.d:20","ZWEIHÄNDER: Dies ist die Köngisklasse unter den Schwertern. die fast fünf Fuß messende, zweischneidige Klinge muß auch von den stärksten Kriegern beidhändig geführt werden. Trifft sie dann aber ihr Ziel, so läßt sie meist nur den Tod zurück. Während das obere Ende der Klinge mit herausgeschliffenen Wellen versehen ist, um mehr Schaden anzurichten, so wurde das  Ende vor der Parierstange mit wehrhaften Stacheln versehen, um auch im Handgemenge den Gegner verletzen zu können.","Espada de dos manos: es la clase de espada de los reyes. La hoja de dos aguerras de casi cinco pies de altura debe ser utilizada con armas de dos manos, incluso por los guerreros más fuertes. Si alcanza su objetivo, suele causar la muerte. Mientras que la parte superior de la espada está equipada con ondas afiladas para causar más daño, la parte anterior del bastón de parisa tiene aguijones de defensa para herir al enemigo en la mandíbula.","","True","GE_SmithWeapons_5","",""
"Scripts/Content/Story/Log_Constants.d:21","KRUSH VARROK: Diese Orkwaffe ein Schwert zu nennen wäre Ketzerei. Es ist ein Vernichter. Diese fünf Fuß lange, axtförmig gebogene Schwertklinge, wird an einer Griffstange geführt, die hinter der Schneide auf fast der gesamten Waffenlänge verläuft. Dieses Schwert muß aus dem seltenen Bluterz gefertig werden und ist zwar die leichteste Orkwaffe, aber dennoch tödlicher, als jede von Menschen hergestellte Klinge.","KRUSH VARROK: Si llamas a esta espada orca una espada, sería una heresia. Es un destructor. Esta espada curva de cinco pies de largo, está dirigida a una palanca que se extiende por casi toda la longitud del arma tras el corte. Esta espada tiene que ser hecha con una sangre rara y es la arma orca más ligera, pero más mortal que cualquier espada hecha por humanos.","","True","GE_SmithWeapons_6","",""
"Scripts/Content/Story/Log_Constants.d:22","BEIL: Ein kleines Axtblatt und ein anderthalb Fuß messender Schaft bilden das ideale Werkzeug des Waldläufers. Ob Brennholz geschlagen oder die kleineren Raubtiere des Waldes abgewehrt werden sollen, das Beil ist ein zuverlässiger Begleiter.","BALLE: Una hoja de hacha pequeña y un palo de una hoja de una pie y media de latón son las herramientas ideales para un animal de bosque. Si quieres cortar madera de fuego o defender a las bestias de los bosques, puedes confiar en la espada.","","True","GE_SmithWeapons_7","",""
"Scripts/Content/Story/Log_Constants.d:23","STREITAXT: Die Waffe für den ungestümen Krieger. Das wuchtige Axtblatt kann von starken Kämpfern noch einhändig geführt werden und so sowohl Mensch wie auch Tier schmerzhafte Wunden zufügen.","STREITAXT: El arma para guerreros intrépidos. La hoja de hacha grande puede ser manejada con una mano por guerreros fuertes, causando heridas dolorosas tanto a humanos como a animales.","","True","GE_SmithWeapons_8","",""
