"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/System/Menu/Menu_Defines.d:69","Einige Einstellungen werden erst nach einem Neustart aktiv","Algunas configuraciones solo se activarán después de reiniciar.","","True","MENU_TEXT_NEEDS_RESTART","",""
"Scripts/System/Menu/Menu_Defines.d:72","Taste ENTF zum Löschen und RETURN zum definieren","pulsa INTRO para borrar y ENTRA para definir","","True","CTRL_KEYDEF","",""
"Scripts/System/Menu/Menu_Defines.d:73","Gewünschte Taste betätigen.","Pulsa el teclado deseado.","","True","CTRL_KEYDEF_INFO","",""
"Scripts/System/Menu/Menu_Defines.d:74","nein|ja","no","","True","MENU_NO_YES","",""
"Scripts/System/Menu/Menu_Defines.d:75","aus|an","de","","True","MENU_OFF_ON","",""
"Scripts/System/Menu/Menu_Defines.d:76","Zurück","De vuelta","","True","MENU_BACK","",""
"Scripts/System/Menu/Menu_Main.d:38","Neues Spiel","Nuevo juego","","True","MENUITEM_MAIN_NEWGAME.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:39","Ein neues Abenteuer beginnen.","Empezar una nueva aventura.","","True","MENUITEM_MAIN_NEWGAME.text[1]","",""
"Scripts/System/Menu/Menu_Main.d:60","Spiel laden","Cargar juego","","True","MENUITEM_MAIN_SAVEGAME_LOAD.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:61","Einen gespeicherten Spielstand laden.","Cargar una partida guardada.","","True","MENUITEM_MAIN_SAVEGAME_LOAD.text[1]","",""
"Scripts/System/Menu/Menu_Main.d:76","Spiel speichern","Guardar juego","","True","MENUITEM_MAIN_SAVEGAME_SAVE.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:77","Den aktuellen Spielstand speichern.","Guardar el estado de juego actual","","True","MENUITEM_MAIN_SAVEGAME_SAVE.text[1]","",""
"Scripts/System/Menu/Menu_Main.d:98","Weiterspielen","Seguir jugando","","True","MENUITEM_MAIN_RESUME.text[0]","",""
