"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Text.d:5","Kiste","Cajón","","False","MOBNAME_CRATE","",""
"Scripts/Content/Story/Text.d:6","Truhe","Cofre","","False","MOBNAME_CHEST","",""
"Scripts/Content/Story/Text.d:7","Bett","Cama","","False","MOBNAME_BED","",""
"Scripts/Content/Story/Text.d:8","Tür","Puerta","","False","MOBNAME_DOOR","",""
"Scripts/Content/Story/Text.d:15","Amboss","Yunque","","False","MOBNAME_ANVIL","",""
"Scripts/Content/Story/Text.d:16","Wassereimer","Balde de agua","","True","MOBNAME_BUCKET","",""
"Scripts/Content/Story/Text.d:17","Schmiedefeuer","Fuego de herrería","","True","MOBNAME_FORGE","",""
"Scripts/Content/Story/Text.d:18","Schleifstein","Piedra de afilar","","False","MOBNAME_GRINDSTONE","",""
"Scripts/Content/Story/Text.d:19","Schmelzofen","Horno de fundición","","True","MOBNAME_MELTER","",""
"Scripts/Content/Story/Text.d:20","Winde","Torno","","False","MOBNAME_WHEEL","",""
"Scripts/Content/Story/Text.d:21","Alchemietisch","Banco de alquimista","","False","MOBNAME_LAB","",""
"Scripts/Content/Story/Text.d:22","Foliant","Foliante","","True","MOBNAME_BOOK","",""
"Scripts/Content/Story/Text.d:24","Kessel","Caldero","","False","MOBNAME_CAULDRON","",""
"Scripts/Content/Story/Text.d:26","Pfanne","Sartén","","False","MOBNAME_PAN","",""
"Scripts/Content/Story/Text.d:28","Wasserpfeife","Pipa de agua","","False","MOBNAME_WATERPIPE","",""
"Scripts/Content/Story/Text.d:29","Leiter","Escalera de mano","","False","MOBNAME_LADDER","",""
"Scripts/Content/Story/Text.d:30","Schalter","Interruptor","","False","MOBNAME_SWITCH","",""
"Scripts/Content/Story/Text.d:31","Hebel","Levadura","","True","MOBNAME_LEVER","",""
"Scripts/Content/Story/Text.d:33","Erzader","Veta de mineral","","False","MOBNAME_ORE","",""
"Scripts/Content/Story/Text.d:37","Mumie","Momia","","False","MOBNAME_ORC_MUMMY","",""
"Scripts/Content/Story/Text.d:38","Säule","Columna","","False","MOBNAME_PILLAR","",""
"Scripts/Content/Story/Text.d:42","Krautstampfer","Trituradora de hierba","","False","MOBNAME_HERB_PSI","",""
"Scripts/Content/Story/Text.d:43","Statuette","Estatuilla","","False","MOBNAME_IDOL","",""
"Scripts/Content/Story/Text.d:46","Zielscheibe","Objetivo","","False","MOBNAME_TARGETSTONE","",""
"Scripts/Content/Story/Text.d:47","Orkischer Herzschrein","Capilla del Corazón de los orcos","","False","MOBNAME_SHRINE","",""
"Scripts/Content/Story/Text.d:48","Sonderbarer Stein","Extraña capilla","","False","MOBNAME_SWORDSTONE","",""
"Scripts/Content/Story/Text.d:49","Runenschmelzer","Fundidor de runas","","True","MOBNAME_RUNEMELTER","",""
"Scripts/Content/Story/Text.d:50","Runenkreisel","Círculo rúnico","","True","MOBNAME_RUNEMAKER","",""
"Scripts/Content/Story/Text.d:51","!!! DIE WIDERAUFERSTEHUNG DES PHOENIX !!!","¡!!! ¡EL INFECCIÓN DE FÉNICA!!!","","True","MOBNAME_PHOENIX9","",""
"Scripts/Content/Story/Text.d:90","(keine)","(Ninguna)","","False","TXT_GUILDS[0]","",""
"Scripts/Content/Story/Text.d:91","Milizsoldat","Soldado de la milicia","","True","TXT_GUILDS[1]","",""
"Scripts/Content/Story/Text.d:92","Arbeiter","Obrero","","False","TXT_GUILDS[2]","",""
"Scripts/Content/Story/Text.d:93","Minenarbeiter","Trabajo de la mina","","True","TXT_GUILDS[3]","",""
"Scripts/Content/Story/Text.d:94","Medikus","Médico","","True","TXT_GUILDS[4]","",""
"Scripts/Content/Story/Text.d:95","Dieb","Ladrón","","True","TXT_GUILDS[5]","",""
"Scripts/Content/Story/Text.d:96","Aussätziger","Leproso","","True","TXT_GUILDS[6]","",""
"Scripts/Content/Story/Text.d:97","Bettler","Mendigo","","True","TXT_GUILDS[7]","",""
"Scripts/Content/Story/Text.d:98","Dämonenanbeter","Adorador de demonios","","True","TXT_GUILDS[8]","",""
"Scripts/Content/Story/Text.d:99","Amazone","Amazonas","","True","TXT_GUILDS[9]","",""
"Scripts/Content/Story/Text.d:100","Paladin","Paladín","","False","TXT_GUILDS[10]","",""
"Scripts/Content/Story/Text.d:101","Sturmjäger-Klan","Clan cazador de tormentas","","True","TXT_GUILDS[11]","",""
"Scripts/Content/Story/Text.d:102","Bluterde-Klan","Clan de Bluterde","","True","TXT_GUILDS[12]","",""
"Scripts/Content/Story/Text.d:103","Dämonenjäger","Demonio cazador","","True","TXT_GUILDS[13]","",""
"Scripts/Content/Story/Text.d:107","Waran","Lagarto","","False","TXT_GUILDS[17]","",""
"Scripts/Content/Story/Text.d:110","Goblin","Trasgo","","False","TXT_GUILDS[19]","",""
"Scripts/Content/Story/Text.d:111","Troll","Troll","","False","TXT_GUILDS[20]","",""
"Scripts/Content/Story/Text.d:111","Snapper","Chasqueador","","False","TXT_GUILDS[21]","",""
"Scripts/Content/Story/Text.d:112","Minecrawler","Reptador de la mina","","False","TXT_GUILDS[22]","",""
"Scripts/Content/Story/Text.d:113","Fleischwanze","Sabandija de carne","","False","TXT_GUILDS[23]","",""
"Scripts/Content/Story/Text.d:114","Scavenger","Carroñero","","False","TXT_GUILDS[24]","",""
"Scripts/Content/Story/Text.d:116","Dämon","Demonio","","False","TXT_GUILDS[25]","",""
"Scripts/Content/Story/Text.d:117","Wolf","Lobo","","False","TXT_GUILDS[26]","",""
"Scripts/Content/Story/Text.d:117","Schattenläufer","Bestia de la sombra","","False","TXT_GUILDS[27]","",""
"Scripts/Content/Story/Text.d:119","Bloodfly","Mosca de sangre","","False","TXT_GUILDS[28]","",""
"Scripts/Content/Story/Text.d:119","Sumpfhai","Tiburón de la ciénaga","","False","TXT_GUILDS[29]","",""
"Scripts/Content/Story/Text.d:121","Zombie","Zombi","","False","TXT_GUILDS[30]","",""
"Scripts/Content/Story/Text.d:121","Zombie	Orc","Orco zombi","","True","TXT_GUILDS[31]","",""
"Scripts/Content/Story/Text.d:123","Skelett","Esqueleto","","False","TXT_GUILDS[32]","",""
"Scripts/Content/Story/Text.d:124","Ork-Hund","Perro orco","","False","TXT_GUILDS[33]","",""
"Scripts/Content/Story/Text.d:125","Molerat","Reina reptadora de la mina","","False","TXT_GUILDS[34]","",""
"Scripts/Content/Story/Text.d:126","Golem","Gólem","","False","TXT_GUILDS[35]","",""
"Scripts/Content/Story/Text.d:127","Lurker","Acechador","","False","TXT_GUILDS[36]","",""
"Scripts/Content/Story/Text.d:128","Orc Schamane","Chamán orco","","False","TXT_GUILDS[38]","",""
"Scripts/Content/Story/Text.d:129","Orc Krieger","Guerrero orco","","False","TXT_GUILDS[39]","",""
"Scripts/Content/Story/Text.d:130","Orc Späher","Explorador orco","","False","TXT_GUILDS[40]","",""
"Scripts/Content/Story/Text.d:132","Orc Sklave","Esclavo orco","","False","TXT_GUILDS[41]","",""
"Scripts/Content/Story/Text.d:145","Licht","Luz","","False","TXT_SPELLS[0]","",""
"Scripts/Content/Story/Text.d:146","Feuerball","Bola de fuego","","False","TXT_SPELLS[1]","",""
"Scripts/Content/Story/Text.d:148","Angst","Miedo","","False","TXT_SPELLS[3]","",""
"Scripts/Content/Story/Text.d:149","Heilung","Curación","","False","TXT_SPELLS[4]","",""
"Scripts/Content/Story/Text.d:151","Dämon beschwören","Invocar demonio","","False","TXT_SPELLS[6]","",""
"Scripts/Content/Story/Text.d:152","Skelette beschwören","Convocar esqueletos","","False","TXT_SPELLS[7]","",""
"Scripts/Content/Story/Text.d:154","Windfaust","Pu?o de viento","","False","TXT_SPELLS[9]","",""
"Scripts/Content/Story/Text.d:155","Telekinese","Telequinesia","","False","TXT_SPELLS[10]","",""
"Scripts/Content/Story/Text.d:156","Charme","Hechizar","","False","TXT_SPELLS[11]","",""
"Scripts/Content/Story/Text.d:157","Schlaf","Dormir","","False","TXT_SPELLS[12]","",""
"Scripts/Content/Story/Text.d:158","Pyrokinese","Piroquinesia","","False","TXT_SPELLS[13]","",""
"Scripts/Content/Story/Text.d:159","Todesring","Anillo de Muerte","","False","TXT_SPELLS[14]","",""
"Scripts/Content/Story/Text.d:160","Kontrolle","Control","","False","TXT_SPELLS[15]","",""
"Scripts/Content/Story/Text.d:161","Untote vernichten","Destruir muerto viviente","","False","TXT_SPELLS[16]","",""
"Scripts/Content/Story/Text.d:162","Feuerpfeil","Flecha de fuego","","False","TXT_SPELLS[17]","",""
"Scripts/Content/Story/Text.d:163","Feuersturm","Tormenta de fuego","","False","TXT_SPELLS[18]","",""
"Scripts/Content/Story/Text.d:164","Feuerregen","Lluvia de fuego","","False","TXT_SPELLS[19]","",""
"Scripts/Content/Story/Text.d:166","merkwürdiger Teleportzauber","Extraño conjuro de teletransporte","","True","TXT_SPELLS[21]","",""
"Scripts/Content/Story/Text.d:167","Teleport Wassermagier","Teleportarse Magos del Agua","","False","TXT_SPELLS[22]","",""
"Scripts/Content/Story/Text.d:168","Teleport Dämonenbeschwörer","Teleportarse Nigromante","","False","TXT_SPELLS[23]","",""
"Scripts/Content/Story/Text.d:169","Teleport Lager","Campo de teletransporte","","True","TXT_SPELLS[24]","",""
"Scripts/Content/Story/Text.d:170","Teleport Sumpflager","Teleportarse Campamento del Pantano","","False","TXT_SPELLS[25]","",""
"Scripts/Content/Story/Text.d:171","Verwandlung Blutfliege","Transformarse en mosca de sangre","","False","TXT_SPELLS[26]","",""
"Scripts/Content/Story/Text.d:173","Verwandlung Minecrawler","Transformarse en reptador de la mina","","False","TXT_SPELLS[28]","",""
"Scripts/Content/Story/Text.d:174","Verwandlung Lurker","Transformarse en acechador","","False","TXT_SPELLS[29]","",""
"Scripts/Content/Story/Text.d:175","Verwandlung Fleischwanze","Transformarse en sabandija de carne","","False","TXT_SPELLS[30]","",""
"Scripts/Content/Story/Text.d:176","Verwandlung Molerat","Transformarse en ratopo","","False","TXT_SPELLS[31]","",""
"Scripts/Content/Story/Text.d:177","Verwandlung Orc-Hund","Transformarse en perro orco","","False","TXT_SPELLS[32]","",""
"Scripts/Content/Story/Text.d:179","Verwandlung Scavenger","Transformarse en carroñero","","False","TXT_SPELLS[34]","",""
"Scripts/Content/Story/Text.d:181","Verwandlung Schattenläufer","Transformarse en bestia de sombra","","False","TXT_SPELLS[36]","",""
"Scripts/Content/Story/Text.d:182","Verwandlung Snapper","Transformarse en chasqueador","","False","TXT_SPELLS[37]","",""
"Scripts/Content/Story/Text.d:183","Verwandlung Waran","Transformarse en lagarto","","False","TXT_SPELLS[38]","",""
"Scripts/Content/Story/Text.d:184","Verwandlung Wolf","Transformarse en lobo","","False","TXT_SPELLS[39]","",""
"Scripts/Content/Story/Text.d:185","Blitz","Relámpago pequeño","","False","TXT_SPELLS[40]","",""
"Scripts/Content/Story/Text.d:186","Eispfeil","Flecha de hielo","","False","TXT_SPELLS[41]","",""
"Scripts/Content/Story/Text.d:187","Kugelblitz","Bola relampagueante","","False","TXT_SPELLS[42]","",""
"Scripts/Content/Story/Text.d:188","Eisblock","Bloque de hielo","","False","TXT_SPELLS[43]","",""
"Scripts/Content/Story/Text.d:189","Eiswelle","Ola de hielo","","False","TXT_SPELLS[44]","",""
"Scripts/Content/Story/Text.d:190","Golem beschwören","Invocar gólem","","False","TXT_SPELLS[45]","",""
"Scripts/Content/Story/Text.d:191","Armee der Finsternis","Ejército de la oscuridad","","False","TXT_SPELLS[46]","",""
"Scripts/Content/Story/Text.d:192","Sturmfaust","Puño de la tormenta","","False","TXT_SPELLS[47]","",""
"Scripts/Content/Story/Text.d:194","Todeshauch","Aliento mortal","","False","TXT_SPELLS[49]","",""
"Scripts/Content/Story/Text.d:195","Schrumpfen","Reducir","","False","TXT_SPELLS[50]","",""
"Scripts/Content/Story/Text.d:198","Raserei","Furia","","False","TXT_SPELLS[53]","",""
"Scripts/Content/Story/Text.d:199","Zorn des URIZIEL","Ira de URIZIEL","","False","TXT_SPELLS[54]","",""
"Scripts/Content/Story/Text.d:212","Licht","Luz","","False","NAME_Light","",""
"Scripts/Content/Story/Text.d:213","Feuerball","Bola de fuego","","False","NAME_Fireball","",""
"Scripts/Content/Story/Text.d:215","Angst","Miedo","","False","NAME_Fear","",""
"Scripts/Content/Story/Text.d:216","Heilung","Curación","","False","NAME_Heal","",""
"Scripts/Content/Story/Text.d:218","Dämon beschwören","Invocar demonio","","False","NAME_Summondemon","",""
"Scripts/Content/Story/Text.d:219","Skelette beschwören","Convocar esqueletos","","False","NAME_Summonskeleton","",""
"Scripts/Content/Story/Text.d:221","Windfaust","Pu?o de viento","","False","NAME_Windfist","",""
"Scripts/Content/Story/Text.d:222","Telekinese","Telequinesia","","False","NAME_Telekinesis","",""
"Scripts/Content/Story/Text.d:223","Charme","Hechizar","","False","NAME_Charm","",""
"Scripts/Content/Story/Text.d:224","Schlaf","Dormir","","False","NAME_Sleep","",""
"Scripts/Content/Story/Text.d:225","Pyrokinese","Piroquinesia","","False","NAME_Pyrokinesis","",""
"Scripts/Content/Story/Text.d:226","Todesring","Anillo de Muerte","","False","NAME_Massdeath","",""
"Scripts/Content/Story/Text.d:227","Kontrolle","Control","","False","NAME_Control","",""
"Scripts/Content/Story/Text.d:228","Untote vernichten","Destruir muerto viviente","","False","NAME_Destroyundead","",""
"Scripts/Content/Story/Text.d:229","Feuerpfeil","Flecha de fuego","","False","NAME_Firebolt","",""
"Scripts/Content/Story/Text.d:230","Feuersturm","Tormenta de fuego","","False","NAME_Firestorm","",""
