"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Text.d:5","Kiste","Caisse","","False","MOBNAME_CRATE","",""
"Scripts/Content/Story/Text.d:6","Truhe","Coffre","","False","MOBNAME_CHEST","",""
"Scripts/Content/Story/Text.d:7","Bett","Lit","","False","MOBNAME_BED","",""
"Scripts/Content/Story/Text.d:8","Tür","Porte","","False","MOBNAME_DOOR","",""
"Scripts/Content/Story/Text.d:15","Amboss","Enclume","","False","MOBNAME_ANVIL","",""
"Scripts/Content/Story/Text.d:16","Wassereimer","","","False","MOBNAME_BUCKET","",""
"Scripts/Content/Story/Text.d:17","Schmiedefeuer","","","False","MOBNAME_FORGE","",""
"Scripts/Content/Story/Text.d:18","Schleifstein","Pierre à aiguiser","","False","MOBNAME_GRINDSTONE","",""
"Scripts/Content/Story/Text.d:19","Schmelzofen","","","False","MOBNAME_MELTER","",""
"Scripts/Content/Story/Text.d:20","Winde","Treuil","","False","MOBNAME_WHEEL","",""
"Scripts/Content/Story/Text.d:21","Alchemietisch","Table d'alchimie","","False","MOBNAME_LAB","",""
"Scripts/Content/Story/Text.d:22","Foliant","","","False","MOBNAME_BOOK","",""
"Scripts/Content/Story/Text.d:24","Kessel","Chaudron","","False","MOBNAME_CAULDRON","",""
"Scripts/Content/Story/Text.d:26","Pfanne","Poêle","","False","MOBNAME_PAN","",""
"Scripts/Content/Story/Text.d:28","Wasserpfeife","Pipe à eau","","False","MOBNAME_WATERPIPE","",""
"Scripts/Content/Story/Text.d:29","Leiter","Échelle","","False","MOBNAME_LADDER","",""
"Scripts/Content/Story/Text.d:30","Schalter","Bouton","","False","MOBNAME_SWITCH","",""
"Scripts/Content/Story/Text.d:31","Hebel","","","False","MOBNAME_LEVER","",""
"Scripts/Content/Story/Text.d:33","Erzader","Filon de minerai","","False","MOBNAME_ORE","",""
"Scripts/Content/Story/Text.d:37","Mumie","Momie","","False","MOBNAME_ORC_MUMMY","",""
"Scripts/Content/Story/Text.d:38","Säule","Colonne","","False","MOBNAME_PILLAR","",""
"Scripts/Content/Story/Text.d:42","Krautstampfer","Faucheuse","","False","MOBNAME_HERB_PSI","",""
"Scripts/Content/Story/Text.d:43","Statuette","Figurine","","False","MOBNAME_IDOL","",""
"Scripts/Content/Story/Text.d:46","Zielscheibe","Cible","","False","MOBNAME_TARGETSTONE","",""
"Scripts/Content/Story/Text.d:47","Orkischer Herzschrein","Sanctuaire du Coeur des Orcs","","False","MOBNAME_SHRINE","",""
"Scripts/Content/Story/Text.d:48","Sonderbarer Stein","Étrange Sanctuaire","","False","MOBNAME_SWORDSTONE","",""
"Scripts/Content/Story/Text.d:49","Runenschmelzer","","","False","MOBNAME_RUNEMELTER","",""
"Scripts/Content/Story/Text.d:50","Runenkreisel","","","False","MOBNAME_RUNEMAKER","",""
"Scripts/Content/Story/Text.d:51","!!! DIE WIDERAUFERSTEHUNG DES PHOENIX !!!","","","False","MOBNAME_PHOENIX9","",""
"Scripts/Content/Story/Text.d:90","(keine)","(aucune)","","False","TXT_GUILDS[0]","",""
"Scripts/Content/Story/Text.d:91","Milizsoldat","","","False","TXT_GUILDS[1]","",""
"Scripts/Content/Story/Text.d:92","Arbeiter","Ouvrier","","False","TXT_GUILDS[2]","",""
"Scripts/Content/Story/Text.d:93","Minenarbeiter","","","False","TXT_GUILDS[3]","",""
"Scripts/Content/Story/Text.d:94","Medikus","","","False","TXT_GUILDS[4]","",""
"Scripts/Content/Story/Text.d:95","Dieb","","","False","TXT_GUILDS[5]","",""
"Scripts/Content/Story/Text.d:96","Aussätziger","","","False","TXT_GUILDS[6]","",""
"Scripts/Content/Story/Text.d:97","Bettler","","","False","TXT_GUILDS[7]","",""
"Scripts/Content/Story/Text.d:98","Dämonenanbeter","","","False","TXT_GUILDS[8]","",""
"Scripts/Content/Story/Text.d:99","Amazone","","","False","TXT_GUILDS[9]","",""
"Scripts/Content/Story/Text.d:100","Paladin","Paladin","","False","TXT_GUILDS[10]","",""
"Scripts/Content/Story/Text.d:101","Sturmjäger-Klan","","","False","TXT_GUILDS[11]","",""
"Scripts/Content/Story/Text.d:102","Bluterde-Klan","","","False","TXT_GUILDS[12]","",""
"Scripts/Content/Story/Text.d:103","Dämonenjäger","","","False","TXT_GUILDS[13]","",""
"Scripts/Content/Story/Text.d:107","Waran","Lézard","","False","TXT_GUILDS[17]","",""
"Scripts/Content/Story/Text.d:110","Goblin","Gobelin","","False","TXT_GUILDS[19]","",""
"Scripts/Content/Story/Text.d:111","Troll","Troll","","False","TXT_GUILDS[20]","",""
"Scripts/Content/Story/Text.d:111","Snapper","Saurinide","","False","TXT_GUILDS[21]","",""
"Scripts/Content/Story/Text.d:112","Minecrawler","Rampant des mines","","False","TXT_GUILDS[22]","",""
"Scripts/Content/Story/Text.d:113","Fleischwanze","Vermine","","False","TXT_GUILDS[23]","",""
"Scripts/Content/Story/Text.d:114","Scavenger","Charognard","","False","TXT_GUILDS[24]","",""
"Scripts/Content/Story/Text.d:116","Dämon","Démon","","False","TXT_GUILDS[25]","",""
"Scripts/Content/Story/Text.d:117","Wolf","Loup","","False","TXT_GUILDS[26]","",""
"Scripts/Content/Story/Text.d:117","Schattenläufer","Bête des ombres","","False","TXT_GUILDS[27]","",""
"Scripts/Content/Story/Text.d:119","Bloodfly","Mouche de Sang","","False","TXT_GUILDS[28]","",""
"Scripts/Content/Story/Text.d:119","Sumpfhai","Requin des marais","","False","TXT_GUILDS[29]","",""
"Scripts/Content/Story/Text.d:121","Zombie","Zombie","","False","TXT_GUILDS[30]","",""
"Scripts/Content/Story/Text.d:121","Zombie	Orc","","","False","TXT_GUILDS[31]","",""
"Scripts/Content/Story/Text.d:123","Skelett","Squelette","","False","TXT_GUILDS[32]","",""
"Scripts/Content/Story/Text.d:124","Ork-Hund","Chien Orc","","False","TXT_GUILDS[33]","",""
"Scripts/Content/Story/Text.d:125","Molerat","Rat-taupe","","False","TXT_GUILDS[34]","",""
"Scripts/Content/Story/Text.d:126","Golem","Golem","","False","TXT_GUILDS[35]","",""
"Scripts/Content/Story/Text.d:127","Lurker","Rôdeur","","False","TXT_GUILDS[36]","",""
"Scripts/Content/Story/Text.d:128","Orc Schamane","Shaman Orc","","False","TXT_GUILDS[38]","",""
"Scripts/Content/Story/Text.d:129","Orc Krieger","Guerrier Orc","","False","TXT_GUILDS[39]","",""
"Scripts/Content/Story/Text.d:130","Orc Späher","Éclaireur Orc","","False","TXT_GUILDS[40]","",""
"Scripts/Content/Story/Text.d:132","Orc Sklave","Esclave Orc","","False","TXT_GUILDS[41]","",""
"Scripts/Content/Story/Text.d:145","Licht","Lumière","","False","TXT_SPELLS[0]","",""
"Scripts/Content/Story/Text.d:146","Feuerball","Boule de feu","","False","TXT_SPELLS[1]","",""
"Scripts/Content/Story/Text.d:148","Angst","Terreur","","False","TXT_SPELLS[3]","",""
"Scripts/Content/Story/Text.d:149","Heilung","Soin","","False","TXT_SPELLS[4]","",""
"Scripts/Content/Story/Text.d:151","Dämon beschwören","Invocation de démon","","False","TXT_SPELLS[6]","",""
"Scripts/Content/Story/Text.d:152","Skelette beschwören","Invocation de Squelette","","False","TXT_SPELLS[7]","",""
"Scripts/Content/Story/Text.d:154","Windfaust","Poing du vent","","False","TXT_SPELLS[9]","",""
"Scripts/Content/Story/Text.d:155","Telekinese","Télékinésie","","False","TXT_SPELLS[10]","",""
"Scripts/Content/Story/Text.d:156","Charme","Charme","","False","TXT_SPELLS[11]","",""
"Scripts/Content/Story/Text.d:157","Schlaf","Sommeil","","False","TXT_SPELLS[12]","",""
"Scripts/Content/Story/Text.d:158","Pyrokinese","Pyrokinésie","","False","TXT_SPELLS[13]","",""
"Scripts/Content/Story/Text.d:159","Todesring","Anneau de Mort","","False","TXT_SPELLS[14]","",""
"Scripts/Content/Story/Text.d:160","Kontrolle","Contrôle","","False","TXT_SPELLS[15]","",""
