"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","Die Minenkolonie von Khorinis war ein riesiges Gefängnis, von einer magischen Barriere umgeben.","La colonie minière de Khorinis était une prison géante, entourée d'une barrière magique.","","False","intro_1","",""
"","Hier wurde seit Jahren nach magischem Erz für den König geschürft.","Ici, on extrayait du minerai magique pour le roi depuis des années.","","False","intro_2","",""
"","Es hieß, die Barriere ist unzerstörbar.","On disait que la barrière était indestructible.","","False","intro_3","",""
"","""Wer einmal drin ist, kommt nie wieder raus.""","""Une fois qu'on y est, on n'en ressort jamais.""","","False","intro_4","",""
"","Irgendwie habe ich es trotzdem geschafft.","Pourtant, j'ai réussi à m'en sortir.","","False","intro_5","",""
"","In den alten Ork-Tempeln, tief unter der Kolonie, besiegte ich den Schläfer, einen Erzdämon.","Dans les anciens temples des Orks, au plus profond de la colonie, j'ai vaincu le Dormeur, un démon primordial.","","False","intro_6","",""
"","... seine entfesselten magischen Kräfte zerstörten leider nicht nur die Barriere ...","... malheureusement, ses pouvoirs magiques déchaînés n'ont pas seulement détruit la barrière ...","","False","intro_7","",""
"","... ich wurde im Tempel verschüttet.","... j'ai été enseveli dans le temple.","","False","intro_8","",""
"","Der König verlor die Kontrolle über die Minenkolonie.","Le roi a perdu le contrôle de la colonie minière.","","False","intro_9","",""
"","Ohne das Erz schien auch der Krieg gegen die Orks verloren.","Sans le minerai, la guerre contre les Orks semblait perdue.","","False","intro_10","",""
"","Überall durchstreiften Ork-Horden das Königreich.","Des hordes d'Orks sillonnaient le royaume.","","False","intro_11","",""
"","Schon bald umstellten die Orks auch die ehemalige Minenkolonie.","Bientôt, les Orks ont encerclé l'ancienne colonie minière.","","False","intro_12","",""
"","Nun waren die Menschen wieder dort gefangen.","Une fois de plus, les humains étaient prisonniers.","","False","intro_13","",""
"","Monate sind vergangen, seit ich die Barriere zerstörte.","Des mois se sont écoulés depuis que j'ai détruit la barrière.","","False","intro_14","",""
"","Verschüttet... vergessen...","Enseveli... oublié...","","False","intro_15","",""
"","am Leben gehalten durch die Magie meiner Rüstung...","Maintenu en vie par la magie de mon armure...","","False","intro_16","",""
"","Xardas schickte mich in den Tempel, um den Schläfer zu besiegen.","Xardas m'a envoyé dans le temple pour vaincre le Dormeur.","","False","intro_17","",""
"","Xardas war es auch, der mich von dort befreite und mir alles erzählte.","C'était aussi Xardas qui m'a libéré d'ici et qui m'a tout raconté.","","False","intro_18","",""
"","Ich fühle mich schwach und ich habe vieles vergessen... Doch ich bin am Leben und ich bin zurück!","Je me sens faible et j'ai beaucoup oublié... Mais je suis vivant et je suis de retour !","","False","intro_19","",""
