"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:34","Was machst du hier?","","","False","BEG_700_Jesper_JOB.description","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:44","Was machst du hier?","","","False","BEG_700_JOB_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:45","Ich bin Jesper. War früher mal Soldat. Jetzt bin ich Bettler.","","","False","BEG_700_JOB_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:46","Was ist geschehen?","","","False","BEG_700_JOB_15_03","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:47","Drei Offiziere haben sich einen hübschen jungen Rekruten vorgenommen. Darauf hin habe ich sie mir vorgenommen.","","","False","BEG_700_JOB_02_04","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:48","Innerhalb einer Minute waren sie alle tot. Und das war das Ende meiner Karriere. Seitdem hangel ich mich so durch.","","","False","BEG_700_JOB_02_05","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:70","Hey, ich hab dich hier noch nie gesehen. Bringst du Neuigkeiten mit?","","","False","BEG_700_HI_02_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:72","Der alte Tempel ist eingestürzt","","","False","BEG_700_Jesper_HI_Info.BEG_700_Jesper_HI.BEG_700_Jesper_HI_TEMPLE","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:73","Ich hörte das Orks in der Gegend sind.","","","False","BEG_700_Jesper_HI_Info.BEG_700_Jesper_HI.BEG_700_Jesper_HI_ORK","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:74","Nein, aber kennst du Neuigkeiten? ","","","False","BEG_700_Jesper_HI_Info.BEG_700_Jesper_HI.BEG_700_Jesper_HI_NO","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:79","Nein, aber kennst du Neuigkeiten?","","","False","BEG_700_HI_NO_15_01","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:80","Ich kriege einiges mit. Wenn du etwas wissen willst, bin ich dein Mann.","","","False","BEG_700_HI_NO_02_02","",""
"Scripts/Content/Story/Missions/DIA_BEG_700_Jesper.d:86","Ich hörte das Orks in der Gegend sind.","","","False","BEG_700_HI_ORK_15_01","",""
