"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/AI/Monster/Mst_Gobbo.d:8","Goblin","Goblin","","False","Mst_Default_GreenGobbo.name","",""
"Scripts/Content/AI/Monster/Mst_BlackGobbo.d:8","schwarzer Goblin","Czarny goblin","","False","Mst_Default_BlackGobbo.name","",""
"Scripts/Content/AI/Monster/Mst_BlackGobbo.d:109","Goblin Krieger","Goblin-wojownik","","False","BlackGobboWarrior.name","",""
"Scripts/Content/AI/Monster/Mst_Gobbo_Demon.d:8","untoter Goblin","Goblin nieumarły","","True","Mst_Default_GobboDemon.name","",""
"Scripts/Content/AI/Monster/Mst_Bloodfly.d:8","Blutfliege","Krwiopijca","","False","Mst_Default_Bloodfly.name","",""
"Scripts/Content/AI/Monster/Mst_Bloodfly.d:109","aggressive Blutfliege","Agresywny krwiopijca","","False","HelpBrothers_Bloodfly.name","",""
"Scripts/Content/AI/Monster/Mst_Bloodhound.d:8","Bluthund","Ogar","","False","Mst_Default_Bloodhound.name","",""
"Scripts/Content/AI/Monster/Mst_Demon.d:8","Flammendämon","Demon ognia","","False","Mst_Default_Demon.name","",""
"Scripts/Content/AI/Monster/Mst_DemonLord.d:8","Dämonenlord","Książę demonów","","False","Mst_Default_DemonLord.name","",""
"Scripts/Content/AI/Monster/Mst_Waran.d:8","Waran","Jaszczur","","False","Mst_Default_Waran.name","",""
"Scripts/Content/AI/Monster/Mst_FireWaran.d:8","Feuerwaran","Ognisty jaszczur","","False","Mst_Default_FireWaran.name","",""
"Scripts/Content/AI/Monster/Mst_Waran_Demon.d:8","Waran-Dämon","Démon zęba","","True","Mst_Default_WaranDemon.name","",""
"Scripts/Content/AI/Monster/Mst_Golem.d:8","Golem","Golem","","False","Mst_Default_Golem.name","",""
"Scripts/Content/AI/Monster/Mst_Golem.d:99","Stein Golem","Kamienny golem","","False","StoneGolem.name","",""
"Scripts/Content/AI/Monster/Mst_Golem.d:132","Golem","Golem","","False","SummonedByPC_StoneGolem.name","",""
"Scripts/Content/AI/Monster/Mst_Golem.d:166","Stein Golem","Kamienny golem","","False","SummonedByNPC_StoneGolem.name","",""
"Scripts/Content/AI/Monster/Mst_Golem.d:198","Feuer Golem","Ognisty golem","","False","FireGolem.name","",""
"Scripts/Content/AI/Monster/Mst_Golem.d:236","Eis Golem","Lodowy golem","","False","IceGolem.name","",""
