"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:70","(eiskalt) Gib mir meine Waffe! JETZT!","Дайте мне оружие прямо сейчас!","","True","DMH_1302_MYWEAPON_Info_11_01","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:73","Nein, ich behalte sie!","Нет, я их сохраняю!","","True","DMH_1302_Malgar_MYWEAPON_Info.DMH_1302_Malgar_MYWEAPON.DMH_1302_Malgar_MYWEAPON_TAKEN","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:74","Hier hast du sie zurück!","Вот вы их вернули!","","True","DMH_1302_Malgar_MYWEAPON_Info.DMH_1302_Malgar_MYWEAPON.DMH_1302_Malgar_MYWEAPON_GIVEBACK","AI_AddChoice",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:80","Hier hast du sie zurück!","Вот вы их вернули!","","True","DMH_1302_MYWEAPON_GIVEBACK_15_01","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:82","(souverän) Gut!","Это хорошо суверенно!","","True","DMH_1302_MYWEAPON_GIVEBACK_11_02","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:89","Nein, ich behalte sie!","Нет, я их сохраняю!","","True","DMH_1302_MYWEAPON_TAKEN_15_01","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:90","(verständnislos) Ts ts ts, Regel Nummer 3...","(непонятно) ТС ТС, правило No 3 ...","","True","DMH_1302_MYWEAPON_TAKEN_11_02","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:127","(grüssend) Heute abend, Gladiator...","Сегодня вечером гладиатор...","","True","DMH_1302_CHALLENGED_11_01","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:131","Geh rüber!","Пройдите мимо !","","True","DMH_1302_CHALLENGED_11_02","",""
"Scripts/Content/Story/Missions/DIA_DMH_1302_Malgar.d:140","Kämpfe Gladiator!","Сражайтесь с гладиаторами!","","True","DMH_1302_CHALLENGED_11_03","",""
