"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:33","Was für eine Krankheit haben diese Leute?","Чем эти люди больны?","","False","HLR_500_Palgur_POS.description","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:48","Was für eine Krankheit haben diese Gestalten?","Чем эти люди больны?","","False","HLR_500__POS_15_01","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:49","Die Kranken verlieren ihren Verstand und ihr Körper geht jämmerlich zugrunde.","Они теряют рассудок, а тела их разлагаются.","","False","HLR_500__POS_08_02","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:50","Wir haben bisher noch keine Aufzeichnungen darüber gefunden.","Мы изучаем записи о различных болезнях, но так ничего похожего и не нашли.","","False","HLR_500__POS_08_03","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:63","Was ist deine Aufgabe hier?","Чем ты занимаешься?","","False","HLR_500_Palgur_JOB.description","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:73","Was ist deine Aufgabe hier?","Чем ты занимаешься?","","False","HLR_500_JOB_15_01","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:74","Ich erforsche verschiedene Rezepturen, um ein Heilmittel zu finden","Я изучаю различные рецепты в поисках лекарства.","","False","HLR_500_JOB_08_02","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:75","Wir haben herausgefunden, daß die Kranken durch SUMPFKRAUT beruhigt werden.","Мы обнаружили, что БОЛОТНИК успокаивает больных.","","False","HLR_500_JOB_08_03","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:76","Das ist alles?","Это все?","","False","HLR_500_JOB_15_04","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:77","... alles? Wir verzeichnen das als den ersten großen Fortschritt.","...всё? Для нас даже это - большой прорыв.","","False","HLR_500_JOB_08_05","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:89","Wie geht die Arbeit voran?","Как идут дела?","","False","HLR_500_Palgur_RECIPE.description","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:104","Wie geht die Arbeit voran?","Как идут дела?","","False","HLR_500_RECIPE_15_01","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:105","Dank der Rezeptur, die du uns besorgt hast, können wir unsere Forschungen gezielter durchführen.","Благодаря найденному тобой рецепту, мы можем более уверенно вести исследования.","","False","HLR_500_RECIPE_08_02","",""
"Scripts/Content/Story/Missions/DIA_HLR_500_Palgur.d:106","Trotzdem ist es noch ein langer Weg, bis wir ein Heilmittel gefunden haben.","Но пройдёт ещё немало времени, прежде чем мы найдём лекарство.","","False","HLR_500_RECIPE_08_03","",""
"Scripts/Content/Story/Missions/DIA_HLR_501_Talamon.d:41","Bist du einer der Heiler?","Ты один из лекарей?","","False","HLR_501_Talamon_HI.description","",""
"Scripts/Content/Story/Missions/DIA_HLR_501_Talamon.d:51","Bist du einer der Heiler?","Ты один из лекарей?","","False","HLR_501_HI_15_01","",""
"Scripts/Content/Story/Missions/DIA_HLR_501_Talamon.d:52","Ja. Zusammen mit Palgur und Isgar helfe ich den Kranken hier im Viertel.","Да. Мы с Палгуром и Исгаром занимаемся больными в этом районе.","","False","HLR_501_HI_08_02","",""
"Scripts/Content/Story/Missions/DIA_HLR_501_Talamon.d:53","Was ist das für eine Krankheit?","Что это за болезнь?","","False","HLR_501_HI_15_03","",""
