"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:50","Hey, ich dachte du wärst tot!","Я и не надеялся увидеть тебя в живых!","","False","PC_Psionic_HALLOAGAIN_23_01","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:51","Das kommt mir bekannt vor.","Где-то я это уже слышал.","","False","PC_Psionic_HALLOAGAIN_15_02","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:52","Was ist geschehen?","Что с тобой случилось?","","False","PC_Psionic_HALLOAGAIN_23_03","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:53","Der Kampf gegen den Schläfer hat mich geschwächt. Das bedeutet ich muss wieder 'ne Menge lernen.","Бой со Спящим изрядно вымотал меня. Придётся многому учиться заново.","","False","PC_Psionic_HALLOAGAIN_15_04","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:54","Ich kann dir zeigen, wie du deine magische Kraft steigerst und dir die Kreise der Magie lehren.","Я могу помочь тебе повысить твою магическую силу и обучить тебя кругам магии.","","False","PC_Psionic_HALLOAGAIN_23_05","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:68","Wolltest Du nicht von der Felsenfestung Besitz nehmen?","Разве ты не хотел занять горную крепость? Почему ты здесь?","","False","PC_Psionic_FORTRESS.description","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:83","Wolltest Du nicht von der Felsenfestung Besitz nehmen?","Разве ты не хотел занять горную крепость? Почему ты здесь?","","False","PC_Psionic_FORTRESS_15_01","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:84","Das wollte ich, aber dann tauchte plätzlich König Rhobar mit seinen Paladinen dort auf, und machte sich in 'meiner' Festung breit.","Король Робар прибыл в долину и обосновался со своей свитой паладинов в крепости. Здесь мои документы не помогут.","","False","PC_Psionic_FORTRESS_23_02","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:96","König Rhobar ist hier?","Робар здесь в Колонии?","","False","PC_Psionic_KINGHERE.description","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:111","König Rhobar ist hier?","Робар здесь в Колонии?","","False","PC_Psionic_KINGHERE_15_01","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:112","Es ist noch garnicht so lange her, da stand er plötzlich mit seinen Paladinen vor dem Alten Lager.","Да, не так давно он со своими паладинами стоял перед воротами Старого лагеря.","","False","PC_Psionic_KINGHERE_23_02","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:113","Einige düster dreinblickende Magier befanden sich ebenfalls in seinem Gefolge. Nur die Götter wissen, was die hier verloren haben.","Вместе с ним пришло несколько угрюмых магов. Одним богам известно, что им здесь понадобилось.","","False","PC_Psionic_KINGHERE_23_03","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:114","Er nahm kurzerhand die Felsenfestung in Besitz und richtete dort sein Hauptquartier ein!","Незадолго после прибытия он устроил свой командный пост в горной крепости.","","False","PC_Psionic_KINGHERE_23_04","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:115","Angeblich sucht er irgendetwas hier in der Gegend!","Судя по всему, он ищет здесь что-то.","","False","PC_Psionic_KINGHERE_23_05","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:127","Weisst du WAS der König hier sucht?","Ты знаешь, ЧТО он может искать?","","False","PC_Psionic_KINGWHAT.description","",""
"Scripts/Content/Story/Missions/DIA_PC_Psionic.d:142","Weisst du WAS der König hier sucht?","Ты знаешь, ЧТО он может искать?","","False","PC_Psionic_KINGWHAT_15_01","",""
