"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Log_Constants.d:14","Wissen der Tierverwertung","Навыки разделывания добычи","","False","GE_AnimalTrophies","",""
"Scripts/Content/Story/Log_Constants.d:15","Wissen vom Waffenschmieden","Навыки ковки оружия","","False","GE_SmithWeapons","",""
"Scripts/Content/Story/Log_Constants.d:16","KURZSCHWERT: Eine kurze Klinge eine Elle lang und doppelschneidig. Die Parierstange ist kurz und rundlich. Die Waffe selbst ist bei Dieben und Mördern sehr beliebt, da sie leicht zu verbergen ist und auch im dichtesten Handgemenge nicht behindert.","КОРОТКИЙ МЕЧ: Короткий обоюдоострый клинок длиной в локоть. Гарда короткая, округлённая. Такой меч можно с легкостью спрятать, почему его и предпочитают многие воры и убийцы. Даже в ожесточённом рукопашном бою короткий меч не будет помехой.","","False","GE_SmithWeapons_1","",""
"Scripts/Content/Story/Log_Constants.d:17","LANGSCHWERT: Die ideale Waffe für die Verteidigung des Heims ebenso wie für den fahrenden Wanderer. Die drei Fuß messende, doppelschneidige Klinge wird mit einem Quereisen als Parierstange sowie einem Lederumwickelten Griff abgesetzt. Mit wenig Kraft zu schwingen, kann diese Waffe doch heftige Wunden in Mensch wie Tier reissen.","ДЛИННЫЙ МЕЧ: Трёхфутовый обоюдоострый клинок, стальная крестовина в качестве гарды и оплетённая кожей рукоять. Идеальное оружие как для обороны дома, так и для далёких путешествий. Даже при лёгком замахе этим мечом можно нанести серьёзные раны, что человеку, что зверю.","","False","GE_SmithWeapons_2","",""
"Scripts/Content/Story/Log_Constants.d:18","BREITSCHWERT: Drei Fuß messender Stahl, dessen gewaltige Wucht von der breiten doppelschneidigen Klinge herrührt. Dies ist die Waffe von Kriegern und Söldnern und nichts für Anfänger. Die ein Fuß messende Parierstange kann auch die stärksten Attacken abwehren und der Griff aus kreuzweise umwundenen Draht gibt der Hand, die diese schwere Waffe in den Kampf führt, optimalen Halt.","ШИРОКИЙ МЕЧ: Трёхфутовый обоюдоострый клинок, отличающийся своей шириной. Однофутовая гарда позволяет отразить даже самые сильные атаки. Рукоять, переплетённая проволокой, обеспечивает удобство использования такого тяжелого оружия в бою. Новичку будет трудно управиться с этим мечом. ШИРОКИЙ МЕЧ- оружие солдат и воинов.","","False","GE_SmithWeapons_3","",""
"Scripts/Content/Story/Log_Constants.d:19","BASTARDSCHWERT: Wer diese vier Fuß lange, gewaltige Klinge einhändig in den Kampf führen kann, gehört zur Elite unter den Schwertkämpfern. Die Verbindung von Klinge, Parierstange und Griff muß besonders robust ausgeführt werden, um die Wucht der Schläge auch dauerhaft unbeschadet zu überstehen.","ПОЛУТОРНЫЙ МЕЧ: Умение держать этот четырёхфутовый клинок в бою одной рукой позволяет отличить элитных мечников от любителей. Чтобы выдержать удары такого грозного меча, соединение между клинком, гардой и рукоятью должно быть особенно прочным.","","False","GE_SmithWeapons_4","",""
"Scripts/Content/Story/Log_Constants.d:20","ZWEIHÄNDER: Dies ist die Köngisklasse unter den Schwertern. die fast fünf Fuß messende, zweischneidige Klinge muß auch von den stärksten Kriegern beidhändig geführt werden. Trifft sie dann aber ihr Ziel, so läßt sie meist nur den Tod zurück. Während das obere Ende der Klinge mit herausgeschliffenen Wellen versehen ist, um mehr Schaden anzurichten, so wurde das  Ende vor der Parierstange mit wehrhaften Stacheln versehen, um auch im Handgemenge den Gegner verletzen zu können.","ДВУРУЧНЫЙ МЕЧ: Король среди мечей. Обоюдоострый клиной длиной почти в пять футов требует двуручного хвата даже от сильнейших бойцов. За каждым замахом этого меча следует смерть врага. Чтобы позволить нанесение более тяжелых ранений, конец клинка зазубрен. Шипы на конце гарды позволяют ранить противника даже на рукопашной дистанции.","","False","GE_SmithWeapons_5","",""
"Scripts/Content/Story/Log_Constants.d:21","KRUSH VARROK: Diese Orkwaffe ein Schwert zu nennen wäre Ketzerei. Es ist ein Vernichter. Diese fünf Fuß lange, axtförmig gebogene Schwertklinge, wird an einer Griffstange geführt, die hinter der Schneide auf fast der gesamten Waffenlänge verläuft. Dieses Schwert muß aus dem seltenen Bluterz gefertig werden und ist zwar die leichteste Orkwaffe, aber dennoch tödlicher, als jede von Menschen hergestellte Klinge.","КРУШ ВАРРОК: Пятифутовый изогнутый клинок, по форме напоминающий топор, дополнен рукоятью длиной во всё оружие. Только безумец назовёт это оружие орков ""мечом"". Круш Варрок - настоящий губитель. Хоть это и самый лёгкий из орочьих мечей, он намного смертоноснее любого оружия, выкованного человеком. Для изготовления этого меча необходима кровавая руда.","","False","GE_SmithWeapons_6","",""
"Scripts/Content/Story/Log_Constants.d:22","BEIL: Ein kleines Axtblatt und ein anderthalb Fuß messender Schaft bilden das ideale Werkzeug des Waldläufers. Ob Brennholz geschlagen oder die kleineren Raubtiere des Waldes abgewehrt werden sollen, das Beil ist ein zuverlässiger Begleiter.","ТОПОР: Небольшой клинок для топора и рукоять длиной в полтора фута. Идеальный инструмент для лесника. Пригодится как для рубки дров, так и для защиты от хищников в лесу.","","False","GE_SmithWeapons_7","",""
"Scripts/Content/Story/Log_Constants.d:23","STREITAXT: Die Waffe für den ungestümen Krieger. Das wuchtige Axtblatt kann von starken Kämpfern noch einhändig geführt werden und so sowohl Mensch wie auch Tier schmerzhafte Wunden zufügen.","БОЕВОЙ ТОПОР: Могучие беспощадные воины могут наносить тяжелые раны мощным клинком этого топора, будь то зверю или человеку. Боевым топором пользуются в одноручном хвате.","","False","GE_SmithWeapons_8","",""
"Scripts/Content/Story/Log_Constants.d:24","DOPPELBLATT-AXT: Der zwei Fuß durchmessende, zweischneidige  Axtkopf sitzt auf einem mit Metallringen verstärktem extralangen Schaft der es erlaubt, diese verherende Waffe mit beiden Händen zu führen. Falls der Kämpfer über ausreichend Kraft verfügt, so kann er mit diesem Werkzeug der Zerstörung nicht nur Bäume fällen... .","ДВОЙНОЙ ТОПОР: Обоюдоострый двухфутовый клинок сидит на удлинённом древке, закреплённый металлическими кольцами, что позволяет держать это орудие разрушения обеими руками. Могучий боец довольно скоро поймёт, что таким топором можно рубить не только деревья...","","False","GE_SmithWeapons_9","",""
"Scripts/Content/Story/Log_Constants.d:25","BERSERKERAXT: Noch größer und wuchtiger als die Doppelblättrige Axt ist diese Waffe schon kaum mehr als Axt zu bezeichnen. Ein einzelner Krieger kann mit diesem Monster aus Stahl Breschen in ganze Infantrieformationen schlagen. Sollte bei keinem Feldzug fehlen!","ТОПОР БЕРСЕРКЕРА: Будучи больше и тяжелее даже двойного топора, это оружие уже трудно назвать топором. С этим стальным чудовищем в руках, один боец может сокрушить целые ряды пеших солдат. Такой топор пригодится в любой военной кампании!","","False","GE_SmithWeapons_10","",""
"Scripts/Content/Story/Log_Constants.d:26","KRUSH BROKDAR: Endlich ist klar, wie die Orks ihre menschlichen Wiedersacher in derart vernichtenden Schlachten immer wieder in die Flucht schlagen konnten. Nur aus dem seltenen Bluterz herzustellen ist diese orkische Axt der Gipfel der Vernichtung. Sie kann nur von den allerstärksten Menschen geführt werden kann, mäht aber Gegner nieder wie die Sense das Gras. Eine hässliche Waffe, die hässliche Wunden schlägt.","КРУШ БРОКДАР: Неудивительно, что орки раз за разом сокрушали людей в столь ожесточённых битвах. Этот выкованный из кровавой руды топор - вершина разрушительной мощи. Лишь сильнейшие из людей могут совладать с весом этого омерзительного топора. С Круш БрокДаром в руках боец будет рубить своих врагов с такой легкостью, будто он стоит на пшеничном поле с косой в руках.","","False","GE_SmithWeapons_11","",""
"Scripts/Content/Story/Log_Constants.d:27","EISENKEULE: Ein eiserner Schaft, der an seinem Ende etwas verdickt ist, um mehr Wucht hinter den Schlag zu setzen. Diese metallene Variante des Holzknüppels ist die ideale Ergänzung für eine Kneipenschlägerei und das blose Tragen eines solchen Gegenstandes vermeidet oft unangenehme nächtliche Begegnungen.","ЖЕЛЕЗНАЯ ДУБИНА: Утолщённое на конце железное древко позволяет придать ударам большую силу. Этот металлический вариант деревянной дубины идеально подходит для драк в таверне, да и многие разбойники дважды подумают перед тем, как напасть на человека с таким оружием на поясе.","","False","GE_SmithWeapons_12","",""
"Scripts/Content/Story/Log_Constants.d:28","STREITKOLBEN: Auf einem metallenen Waffenstumpf sitzt ein etwa kindskopfgroßes Gebilde aus pilzartig angeordneten Eisenlamellen. Diese wehrhafte Waffe ist schnell und besitzt doch ausreichend Wucht, um auch schwere Rüstungen ordentlich zu verbeulen. Sehr beliebt bei religiösen Fanatikern und als Zweitwaffe auch bei königlichen Paladinen stark im Kommen.","БУЛАВА: На металлической рукояти закреплена конструкция из грибовидных железных пластин, схожая по размерам с головой ребёнка. Это грозное оружие позволяет быстро наносить мощные удары, способные пробить даже тяжелную броню. Булавами часто пользуются различные религиозные фанатики, а паладины короля всё чаще начинают использовать их в дополнение к своим мечам.","","False","GE_SmithWeapons_13","",""
"Scripts/Content/Story/Log_Constants.d:29","MORGENSTERN: Dies ist die unhöfliche Variante des Streitkolbens. Ein massiver, mit hässlichen Dornen gespickter Eisenkopf sitzt auf einem verstärkten Schaft. Diese Waffe ist nicht nur bei Rittern weithin gefürchtet, sondern kann auch gut geschützte Monsterpanzer mit Leichtigkeit knacken.","БУЛАВА С ШИПАМИ: Более грубый вид булавы. Массивное навершие покрыто уродливыми шипами и насажено на укреплённое древко. Такая булава не только вселяет страх в рыцарей, но и способно пробить прочные панцири различных чудовищ.","","False","GE_SmithWeapons_14","",""
"Scripts/Content/Story/Log_Constants.d:30","KRIEGSHAMMER: Was aus einem glühenden Stück Eisen ein Schwertklinge formen kann, zermalmt auch den härtesten Gegner. Der große Bruder des Schmiedehammers muß allerdings beidhändig geführt werden, wiegt doch alleine der massive Hammerkopf mehr als ein ganzer Kochkessel. Die größte Genugtung bereitet aber immer noch das Zerbersten der Steingolems, die das Unglück haben, mit diesem Erdbeben von Waffe Bekanntschaft zu machen.","ВОЕННЫЙ МОЛОТ: Инструмент, которым можно выковать клинок меча из раскалённого железа, также может сбить с ног самого стойкого противника. Более крупный родич кузнечного молота требует ручного хвата, так его навершие весит больше котла. Приятнее всего дробить таким сокрушительным оружием камменых големов, которым не повезло встать на пути у владельца военного молота.","","False","GE_SmithWeapons_15","",""
"Scripts/Content/Story/Log_Constants.d:31","KRUSH KARROK: Bisher war nicht bekannt, daß Orks auch mit riesigen Hämmern kämpfen, doch scheint dies vor vielen Jahrhunderten tatsächlich der Fall gewesen zu sein. Diese Apokalypse von Waffe besteht aus einem mannsgroßen Eisenschaft, der von einem enorm wuchtigen und doch sehr scharfkantigen Hammerkopf gekrönt wird. Wo dieses Monstrum aufschlägt, wächst kein Gras mehr. Mit einer solchen Waffe werden die meisten gegnerischen Rüstungen reine Formsache.","КРУШ КАРРОК: Никто не знал, что орки когда-то шли на бой с гигантскими молотами в руках, но похоже, что в далёком прошлом так это и было. Это чудовищное оружие состоит из железного древка размером с человека и неверятно мощного, заострённого как бритва с одной стороны, навершия молота. После ударов этого молота даже трава не будет больше расти на земле, а доспехи врагов оказываются бесполезными.","","False","GE_SmithWeapons_16","",""
"Scripts/Content/Story/Log_Constants.d:34","Wissen über Kochrezepte","Кулинарные рецепты","","False","GE_CookingRecipies","",""
"Scripts/Content/Story/Log_Constants.d:36","Wissen über Alchemieformeln","Алхимические формулы","","False","GE_AlchemieRecipies","",""
"Scripts/Content/Story/Log_Constants.d:37","Wissen vom Bogenmachen","Навыки изготовления луков","","False","GE_BowMaker","",""
"Scripts/Content/Story/Log_Constants.d:37","Wissen über Pflanzen","Знания о растениях","","False","GE_Plants","",""
"Scripts/Content/Story/Log_Constants.d:37","WALDBEEREN mögen kein helles Licht. Sie wachsen bevorzugt unter kleineren Büschen, aber manchmal auch in dichterem Wald.","ЛЕСНЫЕ ЯГОДЫ не любят яркого света. Чаще всего их можно найти под невысокими кустами, иногда в густых лесах.","","False","GE_Plants_1","",""
