"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/System/Menu/Menu_Defines.d:69","Einige Einstellungen werden erst nach einem Neustart aktiv","Некоторые настройки вступят в силу только после перезагрузки.","","True","MENU_TEXT_NEEDS_RESTART","",""
"Scripts/System/Menu/Menu_Defines.d:72","Taste ENTF zum Löschen und RETURN zum definieren","Нажмите DEL, чтобы удалить или ENTER, чтобы настроить.","","True","CTRL_KEYDEF","",""
"Scripts/System/Menu/Menu_Defines.d:73","Gewünschte Taste betätigen.","Нажмите клавишу.","","True","CTRL_KEYDEF_INFO","",""
"Scripts/System/Menu/Menu_Defines.d:74","nein|ja","нет|да","","True","MENU_NO_YES","",""
"Scripts/System/Menu/Menu_Defines.d:75","aus|an","выкл|вкл","","True","MENU_OFF_ON","",""
"Scripts/System/Menu/Menu_Defines.d:76","Zurück","Назад","","False","MENU_BACK","",""
"Scripts/System/Menu/Menu_Main.d:38","Neues Spiel","Новая игра","","False","MENUITEM_MAIN_NEWGAME.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:39","Ein neues Abenteuer beginnen.","Начать новую игру.","","True","MENUITEM_MAIN_NEWGAME.text[1]","",""
"Scripts/System/Menu/Menu_Main.d:60","Spiel laden","Загрузить игру","","False","MENUITEM_MAIN_SAVEGAME_LOAD.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:61","Einen gespeicherten Spielstand laden.","Загрузить сохраненную игру.","","True","MENUITEM_MAIN_SAVEGAME_LOAD.text[1]","",""
"Scripts/System/Menu/Menu_Main.d:76","Spiel speichern","Сохранить игру","","False","MENUITEM_MAIN_SAVEGAME_SAVE.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:77","Den aktuellen Spielstand speichern.","Сохранить текущую игру.","","True","MENUITEM_MAIN_SAVEGAME_SAVE.text[1]","",""
"Scripts/System/Menu/Menu_Main.d:98","Weiterspielen","Продолжить","","True","MENUITEM_MAIN_RESUME.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:99","Aktuelles Spiel fortführen.","Продолжить текущую игру","","True","MENUITEM_MAIN_RESUME.text[1]","",""
"Scripts/System/Menu/Menu_Main.d:118","Einstellungen","Настройки","","False","MENUITEM_MAIN_OPTIONS.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:119","Spiel, Video, Audio und Tastatur einstellen","Настройки игры, графики, звука и управления","","True","MENUITEM_MAIN_OPTIONS.text[1]","",""
"Scripts/System/Menu/Menu_Main.d:135","Intro spielen","Вступление","","True","MENUITEM_MAIN_INTRO.text[0]","",""
