location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/Content/Story/SVM.d:655,Pack mal lieber die Magie weg!,Перестань колдовать!,,True,SVM_5_StopMagic,,
Scripts/Content/Story/SVM.d:656,"Wenn ich Magie weg sage, dann mein' ich das auch so!","Кажется, я сказал: 'Перестань колдовать!'",,True,SVM_5_ISaidStopMagic,,
Scripts/Content/Story/SVM.d:658,"Was hast du mit der Waffe vor, Mann!","Что ты собираешься делать с оружем, парень?",,True,SVM_5_WeaponDown,,
Scripts/Content/Story/SVM.d:658,"Komm schon, steck weg, das Ding!","Давай, убирай его!",,True,SVM_5_ISaidWeaponDown,,
Scripts/Content/Story/SVM.d:659,"Du zielst auf mich, du Komiker!","Ты целишься в меня, клоун!",,True,SVM_5_WatchYourAim,,
Scripts/Content/Story/SVM.d:660,"Wenn du nicht aufhörst, dann übe ich gleich auch mal mit dir!","Если не прекратишь, я тоже потренируюсь на тебе!",,True,SVM_5_WatchYourAimAngry,,
Scripts/Content/Story/SVM.d:661,"Hey, bist du blind oder was?","Эй, ты слепой или как?",,True,SVM_5_WhatAreYouDoing,,
Scripts/Content/Story/SVM.d:663,"Den kleinen Streit vergessen wir, okay?","Забудем об этом, ладно?",,True,SVM_5_LetsForgetOurLittleFight,,
Scripts/Content/Story/SVM.d:664,"Du bist fällig, Mistvieh!","Твоя очередь, ублюдок!",,True,SVM_5_DieMonster,,
Scripts/Content/Story/SVM.d:664,Jetzt wird abgerechnet!,Пришло время расплаты!,,True,SVM_5_DieMortalEnemy,,
Scripts/Content/Story/SVM.d:665,Du brauchst wohl dringend was hinter die Ohren!,Ты напрашиваешься на хорошую взбучку!,,True,SVM_5_NowWait,,
Scripts/Content/Story/SVM.d:666,Hast du immer noch nicht genug?,Тебе все еще мало?,,False,SVM_5_YouStillNotHaveEnough,,
Scripts/Content/Story/SVM.d:667,"Na gut, du willst es scheinbar so!","Ну, ты сам напросился!",,True,SVM_5_YouAskedForIt,,
Scripts/Content/Story/SVM.d:668,Hier werden sie dich raustragen müssen!,Тебя должны вынести отсюда!,,True,SVM_5_NowWaitIntruder,,
Scripts/Content/Story/SVM.d:669,Du Dieb! Ich bring dir Manieren bei!,Вор! Я научу тебя хорошим манерам!,,True,SVM_5_DirtyThief,,
Scripts/Content/Story/SVM.d:670,Niemand vergreift sich ungestraft an meinen Jungs!,"Все, кто обижал моих друзей, потом сильно раскаивались в этом!",,True,SVM_5_YouAttackedMyCharge,,
Scripts/Content/Story/SVM.d:672,Du hast einen meiner Jungs platt gemacht. Jetzt mach' ich DICH platt!,Ты убил одного из моих людей. Теперь я убью ТЕБЯ!,,True,SVM_5_YouKilledOneOfUs,,
Scripts/Content/Story/SVM.d:675,Aaargl,Аааргл!,,True,SVM_5_Dead,,
Scripts/Content/Story/SVM.d:675,Aargh,Ааарг!,,True,SVM_5_Aargh_1,,
Scripts/Content/Story/SVM.d:676,Aargh,Ааарг!,,True,SVM_5_Aargh_2,,
Scripts/Content/Story/SVM.d:676,Aargh,Ааарг!,,True,SVM_5_Aargh_3,,
Scripts/Content/Story/SVM.d:677,UUAAARRGGGHHH!!!,УУАААРРГГГХХХ!!!,,True,SVM_5_Berzerk,,
Scripts/Content/Story/SVM.d:678,Das wird dir noch Leid tun!,Ты об этом пожалеешь!,,True,SVM_5_YoullBeSorryForThis,,
Scripts/Content/Story/SVM.d:679,Bleib locker! Hast gewonnen.,Спокойно! Ты победил.,,True,SVM_5_YesYes,,
Scripts/Content/Story/SVM.d:680,Das ist 'ne Nummer zu groß für mich!,Этот мне не по зубам!,,True,SVM_5_ShitWhatAMonster,,
Scripts/Content/Story/SVM.d:681,Verdammt!,Черт!,,True,SVM_5_Help,,
Scripts/Content/Story/SVM.d:682,Versuch das nicht noch mal!,Больше не делай этого!,,True,SVM_5_NeverTryThatAgain,,
Scripts/Content/Story/SVM.d:683,"Ich sorg dafür, dass dein Silber gut angelegt wird!",Я постараюсь с пользой потратить твою руду!,,True,SVM_5_ITookYourOre,,
Scripts/Content/Story/SVM.d:684,So ein Pech! Kein Erz!,Неудачно. Руды нет!,,True,SVM_5_ShitNoOre,,
Scripts/Content/Story/SVM.d:685,Finger weg!,Убери руки!,,True,SVM_5_HandsOff,,
Scripts/Content/Story/SVM.d:686,Raus hier!,Убирайся отсюда!,,True,SVM_5_GetOutOfHere,,
Scripts/Content/Story/SVM.d:686,Weshalb schleichst du hier rum?,,,False,SVM_5_WhyAreYouSneaking,,
Scripts/Content/Story/SVM.d:688,"Raus hier, sonst ruf' ich die Wachen!",,,False,SVM_5_GetOutOrICallGuards,,
Scripts/Content/Story/SVM.d:689,Du hast da drinnen nichts verloren!,Тебе здесь нечего делать!,,True,SVM_5_WhatDidYouInThere,,
Scripts/Content/Story/SVM.d:691,Du lernst schnell!,Ты быстро учишься!,,True,SVM_5_WiseMove,,
Scripts/Content/Story/SVM.d:692,"Wachen, hier her!",,,False,SVM_5_CallGuards,,
Scripts/Content/Story/SVM.d:693,ALARM!!!!,ТРЕВОГА!!!,,True,SVM_5_IntruderAlert,,
Scripts/Content/Story/SVM.d:694,"Hey, pass auf!","Эй, смотри!",,True,SVM_5_BehindYou,,
Scripts/Content/Story/SVM.d:695,Ein Kampf!,Драка!,,True,SVM_5_TheresAFight,,
Scripts/Content/Story/SVM.d:696,Drauf!,Как тебе это?!,,True,SVM_5_HeyHeyHey,,
Scripts/Content/Story/SVM.d:697,Gut so!,Хорошо!,,True,SVM_5_CheerFight,,
