"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Text.d:5","Kiste","Ящик","","False","MOBNAME_CRATE","",""
"Scripts/Content/Story/Text.d:6","Truhe","Сундук","","False","MOBNAME_CHEST","",""
"Scripts/Content/Story/Text.d:7","Bett","Кровать","","False","MOBNAME_BED","",""
"Scripts/Content/Story/Text.d:8","Tür","Дверь","","False","MOBNAME_DOOR","",""
"Scripts/Content/Story/Text.d:15","Amboss","Наковальня","","False","MOBNAME_ANVIL","",""
"Scripts/Content/Story/Text.d:16","Wassereimer","Ведро с водой","","False","MOBNAME_BUCKET","",""
"Scripts/Content/Story/Text.d:17","Schmiedefeuer","Кузнечный горн","","False","MOBNAME_FORGE","",""
"Scripts/Content/Story/Text.d:18","Schleifstein","Точильный камень","","False","MOBNAME_GRINDSTONE","",""
"Scripts/Content/Story/Text.d:19","Schmelzofen","Плавильная печь","","False","MOBNAME_MELTER","",""
"Scripts/Content/Story/Text.d:20","Winde","Лебедка","","False","MOBNAME_WHEEL","",""
"Scripts/Content/Story/Text.d:21","Alchemietisch","Алхимический стол","","False","MOBNAME_LAB","",""
"Scripts/Content/Story/Text.d:22","Foliant","Фолиант","","False","MOBNAME_BOOK","",""
"Scripts/Content/Story/Text.d:24","Kessel","Котел","","False","MOBNAME_CAULDRON","",""
"Scripts/Content/Story/Text.d:26","Pfanne","Сковорода","","False","MOBNAME_PAN","",""
"Scripts/Content/Story/Text.d:28","Wasserpfeife","Кальян","","False","MOBNAME_WATERPIPE","",""
"Scripts/Content/Story/Text.d:29","Leiter","Лестница","","False","MOBNAME_LADDER","",""
"Scripts/Content/Story/Text.d:30","Schalter","Переключатель","","False","MOBNAME_SWITCH","",""
"Scripts/Content/Story/Text.d:31","Hebel","Рычаг","","False","MOBNAME_LEVER","",""
"Scripts/Content/Story/Text.d:33","Erzader","Руда","","False","MOBNAME_ORE","",""
"Scripts/Content/Story/Text.d:37","Mumie","Мумия","","False","MOBNAME_ORC_MUMMY","",""
"Scripts/Content/Story/Text.d:38","Säule","Колонна","","False","MOBNAME_PILLAR","",""
"Scripts/Content/Story/Text.d:42","Krautstampfer","Пресс","","False","MOBNAME_HERB_PSI","",""
"Scripts/Content/Story/Text.d:43","Statuette","Статуэтка","","False","MOBNAME_IDOL","",""
"Scripts/Content/Story/Text.d:46","Zielscheibe","Мишень","","False","MOBNAME_TARGETSTONE","",""
"Scripts/Content/Story/Text.d:47","Orkischer Herzschrein","Святилище орков","","False","MOBNAME_SHRINE","",""
"Scripts/Content/Story/Text.d:48","Sonderbarer Stein","Странное святилище","","False","MOBNAME_SWORDSTONE","",""
"Scripts/Content/Story/Text.d:49","Runenschmelzer","Рунная плавильня","","False","MOBNAME_RUNEMELTER","",""
"Scripts/Content/Story/Text.d:50","Runenkreisel","Рунный стол","","False","MOBNAME_RUNEMAKER","",""
"Scripts/Content/Story/Text.d:51","!!! DIE WIDERAUFERSTEHUNG DES PHOENIX !!!","!!! ВОЗРОЖДЕНИЕ ФЕНИКСА !!!","","False","MOBNAME_PHOENIX9","",""
"Scripts/Content/Story/Text.d:90","(keine)","(нет)","","False","TXT_GUILDS[0]","",""
"Scripts/Content/Story/Text.d:91","Milizsoldat","Ополченец","","False","TXT_GUILDS[1]","",""
"Scripts/Content/Story/Text.d:92","Arbeiter","Рабочий","","False","TXT_GUILDS[2]","",""
"Scripts/Content/Story/Text.d:93","Minenarbeiter","Шахтер","","False","TXT_GUILDS[3]","",""
"Scripts/Content/Story/Text.d:94","Medikus","Лекарь","","False","TXT_GUILDS[4]","",""
"Scripts/Content/Story/Text.d:95","Dieb","Вор","","False","TXT_GUILDS[5]","",""
"Scripts/Content/Story/Text.d:96","Aussätziger","Прокаженный","","False","TXT_GUILDS[6]","",""
"Scripts/Content/Story/Text.d:97","Bettler","Попрошайка","","False","TXT_GUILDS[7]","",""
"Scripts/Content/Story/Text.d:98","Dämonenanbeter","Демонопоклонник","","False","TXT_GUILDS[8]","",""
"Scripts/Content/Story/Text.d:99","Amazone","Амазонка","","False","TXT_GUILDS[9]","",""
"Scripts/Content/Story/Text.d:100","Paladin","Паладин","","False","TXT_GUILDS[10]","",""
"Scripts/Content/Story/Text.d:101","Sturmjäger-Klan","Штормовый клан","","True","TXT_GUILDS[11]","",""
"Scripts/Content/Story/Text.d:102","Bluterde-Klan","Кровавый клан","","True","TXT_GUILDS[12]","",""
"Scripts/Content/Story/Text.d:103","Dämonenjäger","Охотник на демонов","","False","TXT_GUILDS[13]","",""
"Scripts/Content/Story/Text.d:107","Waran","Варан","","False","TXT_GUILDS[17]","",""
"Scripts/Content/Story/Text.d:110","Goblin","Гоблин","","False","TXT_GUILDS[19]","",""
"Scripts/Content/Story/Text.d:111","Troll","Тролль","","False","TXT_GUILDS[20]","",""
"Scripts/Content/Story/Text.d:111","Snapper","Глорх","","False","TXT_GUILDS[21]","",""
"Scripts/Content/Story/Text.d:112","Minecrawler","Ползун","","False","TXT_GUILDS[22]","",""
"Scripts/Content/Story/Text.d:113","Fleischwanze","Мясной жук","","False","TXT_GUILDS[23]","",""
"Scripts/Content/Story/Text.d:114","Scavenger","Падальщик","","False","TXT_GUILDS[24]","",""
"Scripts/Content/Story/Text.d:116","Dämon","Демон","","False","TXT_GUILDS[25]","",""
"Scripts/Content/Story/Text.d:117","Wolf","Волк","","False","TXT_GUILDS[26]","",""
"Scripts/Content/Story/Text.d:117","Schattenläufer","Мракорис","","False","TXT_GUILDS[27]","",""
"Scripts/Content/Story/Text.d:119","Bloodfly","Шершень","","False","TXT_GUILDS[28]","",""
"Scripts/Content/Story/Text.d:119","Sumpfhai","Болотожор","","False","TXT_GUILDS[29]","",""
"Scripts/Content/Story/Text.d:121","Zombie","Зомби","","False","TXT_GUILDS[30]","",""
"Scripts/Content/Story/Text.d:121","Zombie	Orc","Орк-нежить","","False","TXT_GUILDS[31]","",""
"Scripts/Content/Story/Text.d:123","Skelett","Скелет","","False","TXT_GUILDS[32]","",""
"Scripts/Content/Story/Text.d:124","Ork-Hund","Орочья гончая","","False","TXT_GUILDS[33]","",""
"Scripts/Content/Story/Text.d:125","Molerat","Кротокрыс","","False","TXT_GUILDS[34]","",""
"Scripts/Content/Story/Text.d:126","Golem","Голем","","False","TXT_GUILDS[35]","",""
"Scripts/Content/Story/Text.d:127","Lurker","Шныг","","False","TXT_GUILDS[36]","",""
"Scripts/Content/Story/Text.d:128","Orc Schamane","Орк-шаман","","False","TXT_GUILDS[38]","",""
"Scripts/Content/Story/Text.d:129","Orc Krieger","Орк-воин","","False","TXT_GUILDS[39]","",""
"Scripts/Content/Story/Text.d:130","Orc Späher","Орк-разведчик","","False","TXT_GUILDS[40]","",""
"Scripts/Content/Story/Text.d:132","Orc Sklave","Орк-раб","","False","TXT_GUILDS[41]","",""
"Scripts/Content/Story/Text.d:145","Licht","Свет","","False","TXT_SPELLS[0]","",""
"Scripts/Content/Story/Text.d:146","Feuerball","Огненный шар","","False","TXT_SPELLS[1]","",""
"Scripts/Content/Story/Text.d:148","Angst","Страх","","False","TXT_SPELLS[3]","",""
"Scripts/Content/Story/Text.d:149","Heilung","Исцеление","","False","TXT_SPELLS[4]","",""
"Scripts/Content/Story/Text.d:151","Dämon beschwören","Призыв демона","","False","TXT_SPELLS[6]","",""
"Scripts/Content/Story/Text.d:152","Skelette beschwören","Призыв скелета","","False","TXT_SPELLS[7]","",""
"Scripts/Content/Story/Text.d:154","Windfaust","Кулак ветра","","False","TXT_SPELLS[9]","",""
"Scripts/Content/Story/Text.d:155","Telekinese","Телекинез","","False","TXT_SPELLS[10]","",""
"Scripts/Content/Story/Text.d:156","Charme","Чары","","False","TXT_SPELLS[11]","",""
"Scripts/Content/Story/Text.d:157","Schlaf","Сон","","False","TXT_SPELLS[12]","",""
"Scripts/Content/Story/Text.d:158","Pyrokinese","Пирокинез","","False","TXT_SPELLS[13]","",""
"Scripts/Content/Story/Text.d:159","Todesring","Волна смерти","","False","TXT_SPELLS[14]","",""
"Scripts/Content/Story/Text.d:160","Kontrolle","Контроль","","False","TXT_SPELLS[15]","",""
"Scripts/Content/Story/Text.d:161","Untote vernichten","Уничтожение нежити","","False","TXT_SPELLS[16]","",""
"Scripts/Content/Story/Text.d:162","Feuerpfeil","Огненная стрела","","False","TXT_SPELLS[17]","",""
"Scripts/Content/Story/Text.d:163","Feuersturm","Огненный шторм","","False","TXT_SPELLS[18]","",""
"Scripts/Content/Story/Text.d:164","Feuerregen","Огненный дождь","","False","TXT_SPELLS[19]","",""
"Scripts/Content/Story/Text.d:166","merkwürdiger Teleportzauber","Странное заклинание телепорта","","False","TXT_SPELLS[21]","",""
